revision,benchmark,nrun,time
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ032,0,0.355862
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ032,1,0.349993
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ032,2,0.342433
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ032,3,0.350688
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ032,4,0.342986
4cff1d7957ce895dd9984a87aa20aef67f5986e6,PointQueryWithIndexART,0,0.000293
4cff1d7957ce895dd9984a87aa20aef67f5986e6,PointQueryWithIndexART,1,0.000125
4cff1d7957ce895dd9984a87aa20aef67f5986e6,PointQueryWithIndexART,2,0.00016
4cff1d7957ce895dd9984a87aa20aef67f5986e6,PointQueryWithIndexART,3,0.00016
4cff1d7957ce895dd9984a87aa20aef67f5986e6,PointQueryWithIndexART,4,0.00016
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Memory,0,1.321738
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Memory,1,1.321705
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Memory,2,1.326912
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Memory,3,1.32719
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Memory,4,1.320594
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ003,0,0.038116
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ003,1,0.038489
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ003,2,0.038812
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ003,3,0.037832
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ003,4,0.039017
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYPrimary,0,0.048687
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYPrimary,1,0.043403
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYPrimary,2,0.037792
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYPrimary,3,0.040222
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYPrimary,4,0.037631
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ034,0,0.273276
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ034,1,0.273282
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ034,2,0.271765
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ034,3,0.271182
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ034,4,0.269723
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ062,0,0.914977
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ062,1,0.924934
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ062,2,0.921748
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ062,3,0.922955
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ062,4,0.926786
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ080,0,0.044016
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ080,1,0.042232
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ080,2,0.044316
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ080,3,0.045133
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ080,4,0.041985
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ103,0,1.47487
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ103,1,1.466421
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ103,2,1.463953
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ103,3,1.46434
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ103,4,1.471174
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ088,0,5.453357
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ088,1,5.474315
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ088,2,5.463851
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ088,3,5.45547
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ088,4,5.452876
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ028,0,0.126907
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ028,1,0.129357
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ028,2,0.127427
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ028,3,0.129615
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ028,4,0.12767
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ017,0,0.493076
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ017,1,0.493776
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ017,2,0.494972
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ017,3,0.500871
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ017,4,0.497387
4cff1d7957ce895dd9984a87aa20aef67f5986e6,IndexCreationART,0,T
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ022,0,0.62451
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ022,1,0.622183
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ022,2,0.613759
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ022,3,0.607882
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ022,4,0.61906
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersPREPARED,0,1.343016
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersPREPARED,1,1.356834
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersPREPARED,2,1.34652
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersPREPARED,3,1.351764
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersPREPARED,4,1.345546
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q03,0,0.332563
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q03,1,0.321575
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q03,2,0.331724
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q03,3,0.338154
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q03,4,0.339349
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ031,0,0.623699
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ031,1,0.6224
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ031,2,0.617391
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ031,3,0.620584
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ031,4,0.618622
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Disk,0,1.306107
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Disk,1,1.297367
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Disk,2,1.310306
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Disk,3,1.310601
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SELECT1Disk,4,1.313562
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYDisk,0,0.030858
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYDisk,1,0.029912
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYDisk,2,0.025906
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYDisk,3,0.030249
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersCOPYDisk,4,0.029701
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ082,0,4.378932
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ082,1,4.405129
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ082,2,4.425756
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ082,3,4.434171
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ082,4,4.371931
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERT,0,1.777863
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERT,1,1.775598
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERT,2,1.775542
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERT,3,1.75777
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERT,4,1.784424
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ042,0,1.339357
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ042,1,1.349776
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ042,2,1.334006
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ042,3,1.352075
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ042,4,1.350532
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERTPrimary,0,1.956352
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERTPrimary,1,1.957255
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERTPrimary,2,1.974672
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERTPrimary,3,1.965909
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersINSERTPrimary,4,1.957665
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ016,0,0.038095
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ016,1,0.037891
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ016,2,0.038417
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ016,3,0.038074
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ016,4,0.038303
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q19,0,0.485008
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q19,1,0.484129
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q19,2,0.471839
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q19,3,0.480972
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q19,4,0.475274
4cff1d7957ce895dd9984a87aa20aef67f5986e6,WriteLineitemCSV,0,3.555823
4cff1d7957ce895dd9984a87aa20aef67f5986e6,WriteLineitemCSV,1,1.996591
4cff1d7957ce895dd9984a87aa20aef67f5986e6,WriteLineitemCSV,2,1.991506
4cff1d7957ce895dd9984a87aa20aef67f5986e6,WriteLineitemCSV,3,1.993372
4cff1d7957ce895dd9984a87aa20aef67f5986e6,WriteLineitemCSV,4,1.989071
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ043,0,1.376987
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ043,1,1.364156
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ043,2,1.345648
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ043,3,1.379741
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ043,4,1.351511
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q05,0,0.537221
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q05,1,0.538987
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q05,2,0.54061
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q05,3,0.535919
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q05,4,0.538326
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ076,0,T
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ100,0,0.050042
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ100,1,0.049759
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ100,2,0.04948
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ100,3,0.049423
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ100,4,0.050334
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ025,0,3.953366
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ025,1,3.962964
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ025,2,3.936737
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ025,3,3.942893
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ025,4,3.934336
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SimpleGroupByAggregate,0,0.128355
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SimpleGroupByAggregate,1,0.129196
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SimpleGroupByAggregate,2,0.13093
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SimpleGroupByAggregate,3,0.128291
4cff1d7957ce895dd9984a87aa20aef67f5986e6,SimpleGroupByAggregate,4,0.128875
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ004,0,3.921406
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ004,1,3.935049
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ004,2,3.929939
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ004,3,3.919211
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ004,4,3.940191
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ081,0,0.222481
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ081,1,0.221545
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ081,2,0.222097
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ081,3,0.227046
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ081,4,0.227522
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ050,0,0.241294
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ050,1,0.238472
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ050,2,0.237695
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ050,3,0.240645
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ050,4,0.238073
4cff1d7957ce895dd9984a87aa20aef67f5986e6,RangeQueryWithIndexART,0,0.000188
4cff1d7957ce895dd9984a87aa20aef67f5986e6,RangeQueryWithIndexART,1,0.000171
4cff1d7957ce895dd9984a87aa20aef67f5986e6,RangeQueryWithIndexART,2,0.000289
4cff1d7957ce895dd9984a87aa20aef67f5986e6,RangeQueryWithIndexART,3,0.000422
4cff1d7957ce895dd9984a87aa20aef67f5986e6,RangeQueryWithIndexART,4,0.000276
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q22,0,0.457421
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q22,1,0.457118
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q22,2,0.444989
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q22,3,0.442387
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Q22,4,0.454375
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersAPPENDERDisk,0,0.023462
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersAPPENDERDisk,1,0.024243
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersAPPENDERDisk,2,0.024787
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersAPPENDERDisk,3,0.023949
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Append100KIntegersAPPENDERDisk,4,0.024229
4cff1d7957ce895dd9984a87aa20aef67f5986e6,TPCHEmptyStartup,0,0.004463
4cff1d7957ce895dd9984a87aa20aef67f5986e6,TPCHEmptyStartup,1,0.004861
4cff1d7957ce895dd9984a87aa20aef67f5986e6,TPCHEmptyStartup,2,0.005413
4cff1d7957ce895dd9984a87aa20aef67f5986e6,TPCHEmptyStartup,3,0.00511
4cff1d7957ce895dd9984a87aa20aef67f5986e6,TPCHEmptyStartup,4,0.005303
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Window,0,0.161057
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Window,1,0.160778
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Window,2,0.160758
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Window,3,0.160724
4cff1d7957ce895dd9984a87aa20aef67f5986e6,Window,4,0.160788
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ090,0,0.134784
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ090,1,0.136985
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ090,2,0.136921
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ090,3,0.135814
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ090,4,0.135135
4cff1d7957ce895dd9984a87aa20aef67f5986e6,InList0001Entry,0,0.055773
4cff1d7957ce895dd9984a87aa20aef67f5986e6,InList0001Entry,1,0.05724
4cff1d7957ce895dd9984a87aa20aef67f5986e6,InList0001Entry,2,0.055791
4cff1d7957ce895dd9984a87aa20aef67f5986e6,InList0001Entry,3,0.056476
4cff1d7957ce895dd9984a87aa20aef67f5986e6,InList0001Entry,4,0.055679
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ077,0,0.066373
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ077,1,0.065653
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ077,2,0.065626
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ077,3,0.065425
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ077,4,0.068063
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ053,0,0.165075
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ053,1,0.166512
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ053,2,0.159775
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ053,3,0.159211
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ053,4,0.16244
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ005,0,0.379116
4cff1d7957ce895dd9984a87aa20aef67f5986e6,DSQ005,1,0.375599
