revision,benchmark,nrun,time
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleAggregate,0,0.019039
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleAggregate,1,0.017068
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleAggregate,2,0.017006
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleAggregate,3,0.016788
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleAggregate,4,0.017037
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleGroupByAggregate,0,0.129272
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleGroupByAggregate,1,0.129757
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleGroupByAggregate,2,0.129637
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleGroupByAggregate,3,0.129143
02e41da93e359fbad3c83b200f6d40e9455ace56,SimpleGroupByAggregate,4,0.129964
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0001Entry,0,0.054031
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0001Entry,1,0.056431
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0001Entry,2,0.05549
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0001Entry,3,0.053812
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0001Entry,4,0.054097
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0002Entry,0,0.102123
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0002Entry,1,0.106887
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0002Entry,2,0.101632
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0002Entry,3,0.116766
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0002Entry,4,0.100723
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0004Entry,0,0.191809
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0004Entry,1,0.215494
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0004Entry,2,0.188909
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0004Entry,3,0.189816
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0004Entry,4,0.191325
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0008Entry,0,0.363689
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0008Entry,1,0.389442
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0008Entry,2,0.394364
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0008Entry,3,0.391072
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0008Entry,4,0.380551
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0016Entry,0,0.447024
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0016Entry,1,0.398871
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0016Entry,2,0.426264
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0016Entry,3,0.393874
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0016Entry,4,0.405827
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0032Entry,0,0.475364
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0032Entry,1,0.441154
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0032Entry,2,0.448388
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0032Entry,3,0.428558
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0032Entry,4,0.436344
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0064Entry,0,0.530675
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0064Entry,1,0.477065
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0064Entry,2,0.482354
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0064Entry,3,0.441021
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0064Entry,4,0.467511
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0128Entry,0,0.575719
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0128Entry,1,0.481293
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0128Entry,2,0.561171
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0128Entry,3,0.48134
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0128Entry,4,0.503055
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0256Entry,0,0.582415
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0256Entry,1,0.49634
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0256Entry,2,0.583008
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0256Entry,3,0.502736
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0256Entry,4,0.485403
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0512Entry,0,0.604367
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0512Entry,1,0.51215
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0512Entry,2,0.621178
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0512Entry,3,0.517638
02e41da93e359fbad3c83b200f6d40e9455ace56,InList0512Entry,4,0.517954
02e41da93e359fbad3c83b200f6d40e9455ace56,InList1024Entry,0,0.623902
02e41da93e359fbad3c83b200f6d40e9455ace56,InList1024Entry,1,0.541353
02e41da93e359fbad3c83b200f6d40e9455ace56,InList1024Entry,2,0.629447
02e41da93e359fbad3c83b200f6d40e9455ace56,InList1024Entry,3,0.518118
02e41da93e359fbad3c83b200f6d40e9455ace56,InList1024Entry,4,0.501288
02e41da93e359fbad3c83b200f6d40e9455ace56,InList2048Entry,0,0.607612
02e41da93e359fbad3c83b200f6d40e9455ace56,InList2048Entry,1,0.533901
02e41da93e359fbad3c83b200f6d40e9455ace56,InList2048Entry,2,0.638555
02e41da93e359fbad3c83b200f6d40e9455ace56,InList2048Entry,3,0.510179
02e41da93e359fbad3c83b200f6d40e9455ace56,InList2048Entry,4,0.500513
02e41da93e359fbad3c83b200f6d40e9455ace56,Multiplication,0,0.099488
