revision,benchmark,nrun,time
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleAggregate,0,0.019039
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleAggregate,1,0.017068
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleAggregate,2,0.017006
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleAggregate,3,0.016788
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleAggregate,4,0.017037
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleGroupByAggregate,0,0.129272
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleGroupByAggregate,1,0.129757
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleGroupByAggregate,2,0.129637
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleGroupByAggregate,3,0.129143
110bd1c83861a55e22a9ee4e97894366bf417dba,SimpleGroupByAggregate,4,0.129964
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0001Entry,0,0.054031
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0001Entry,1,0.056431
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0001Entry,2,0.05549
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0001Entry,3,0.053812
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0001Entry,4,0.054097
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0002Entry,0,0.102123
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0002Entry,1,0.106887
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0002Entry,2,0.101632
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0002Entry,3,0.116766
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0002Entry,4,0.100723
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0004Entry,0,0.191809
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0004Entry,1,0.215494
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0004Entry,2,0.188909
110bd1c83861a55e22a9ee4e97894366bf417dba,InList0004Entry,3,0.189816
