revision,benchmark,nrun,time
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleAggregate,0,0.019039
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleAggregate,1,0.017068
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleAggregate,2,0.017006
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleAggregate,3,0.016788
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleAggregate,4,0.017037
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleGroupByAggregate,0,0.129272
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleGroupByAggregate,1,0.129757
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleGroupByAggregate,2,0.129637
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleGroupByAggregate,3,0.129143
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SimpleGroupByAggregate,4,0.129964
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0001Entry,0,0.054031
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0001Entry,1,0.056431
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0001Entry,2,0.05549
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0001Entry,3,0.053812
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0001Entry,4,0.054097
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0002Entry,0,0.102123
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0002Entry,1,0.106887
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0002Entry,2,0.101632
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0002Entry,3,0.116766
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0002Entry,4,0.100723
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0004Entry,0,0.191809
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0004Entry,1,0.215494
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0004Entry,2,0.188909
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0004Entry,3,0.189816
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0004Entry,4,0.191325
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0008Entry,0,0.363689
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0008Entry,1,0.389442
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0008Entry,2,0.394364
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0008Entry,3,0.391072
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0008Entry,4,0.380551
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0016Entry,0,0.447024
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0016Entry,1,0.398871
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0016Entry,2,0.426264
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0016Entry,3,0.393874
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0016Entry,4,0.405827
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0032Entry,0,0.475364
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0032Entry,1,0.441154
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0032Entry,2,0.448388
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0032Entry,3,0.428558
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0032Entry,4,0.436344
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0064Entry,0,0.530675
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0064Entry,1,0.477065
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0064Entry,2,0.482354
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0064Entry,3,0.441021
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0064Entry,4,0.467511
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0128Entry,0,0.575719
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0128Entry,1,0.481293
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0128Entry,2,0.561171
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0128Entry,3,0.48134
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0128Entry,4,0.503055
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0256Entry,0,0.582415
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0256Entry,1,0.49634
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0256Entry,2,0.583008
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0256Entry,3,0.502736
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0256Entry,4,0.485403
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0512Entry,0,0.604367
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0512Entry,1,0.51215
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0512Entry,2,0.621178
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0512Entry,3,0.517638
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList0512Entry,4,0.517954
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList1024Entry,0,0.623902
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList1024Entry,1,0.541353
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList1024Entry,2,0.629447
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList1024Entry,3,0.518118
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList1024Entry,4,0.501288
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList2048Entry,0,0.607612
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList2048Entry,1,0.533901
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList2048Entry,2,0.638555
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList2048Entry,3,0.510179
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,InList2048Entry,4,0.500513
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Multiplication,0,0.099488
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Multiplication,1,0.09463
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Multiplication,2,0.099677
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Multiplication,3,0.096489
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Multiplication,4,0.096249
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,OrderBySingleColumn,0,0.038276
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,OrderBySingleColumn,1,0.038626
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,OrderBySingleColumn,2,0.038355
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,OrderBySingleColumn,3,0.038566
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,OrderBySingleColumn,4,0.038356
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithoutIndex,0,0.262917
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithoutIndex,1,0.261569
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithoutIndex,2,0.257905
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithoutIndex,3,0.262266
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithoutIndex,4,0.257115
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithIndexART,0,0.000182
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithIndexART,1,0.000127
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithIndexART,2,0.000257
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithIndexART,3,0.000175
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,PointQueryWithIndexART,4,0.000114
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,IndexCreationART,0,T
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeJoin,0,0.159608
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeJoin,1,0.137414
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeJoin,2,0.137366
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeJoin,3,0.138201
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeJoin,4,0.137292
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithoutIndex,0,0.576838
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithoutIndex,1,0.572227
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithoutIndex,2,0.571126
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithoutIndex,3,0.569334
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithoutIndex,4,0.569335
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithIndexART,0,0.000255
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithIndexART,1,0.000248
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithIndexART,2,0.00028
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithIndexART,3,0.000491
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,RangeQueryWithIndexART,4,0.00025
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Window,0,0.160346
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Window,1,0.160212
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Window,2,0.159886
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Window,3,0.160357
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,Window,4,0.160442
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Memory,0,1.432427
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Memory,1,1.445717
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Memory,2,1.446134
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Memory,3,1.451596
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Memory,4,1.446057
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Disk,0,1.332728
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Disk,1,1.33691
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Disk,2,1.325225
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Disk,3,1.334592
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,SELECT1Disk,4,1.335577
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemSimpleAggregate,0,0.011012
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemSimpleAggregate,1,0.012532
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemSimpleAggregate,2,0.014108
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemSimpleAggregate,3,0.013817
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemSimpleAggregate,4,0.013177
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemGroupAggregate,0,0.071457
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemGroupAggregate,1,0.073678
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemGroupAggregate,2,0.071728
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemGroupAggregate,3,0.072042
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemGroupAggregate,4,0.073617
1a9b53906d8af2204008b797b9e6e1ecd9eb8379,LineitemGroupStringAggregate,0,0.195515
