revision,benchmark,nrun,time
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleAggregate,0,0.019039
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleAggregate,1,0.017068
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleAggregate,2,0.017006
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleAggregate,3,0.016788
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleAggregate,4,0.017037
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleGroupByAggregate,0,0.129272
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleGroupByAggregate,1,0.129757
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleGroupByAggregate,2,0.129637
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleGroupByAggregate,3,0.129143
24e9e3d0321fbf5277711ed6b3ea4c678d149223,SimpleGroupByAggregate,4,0.129964
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0001Entry,0,0.054031
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0001Entry,1,0.056431
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0001Entry,2,0.05549
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0001Entry,3,0.053812
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0001Entry,4,0.054097
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0002Entry,0,0.102123
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0002Entry,1,0.106887
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0002Entry,2,0.101632
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0002Entry,3,0.116766
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0002Entry,4,0.100723
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0004Entry,0,0.191809
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0004Entry,1,0.215494
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0004Entry,2,0.188909
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0004Entry,3,0.189816
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0004Entry,4,0.191325
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0008Entry,0,0.363689
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0008Entry,1,0.389442
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0008Entry,2,0.394364
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0008Entry,3,0.391072
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0008Entry,4,0.380551
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0016Entry,0,0.447024
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0016Entry,1,0.398871
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0016Entry,2,0.426264
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0016Entry,3,0.393874
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0016Entry,4,0.405827
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0032Entry,0,0.475364
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0032Entry,1,0.441154
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0032Entry,2,0.448388
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0032Entry,3,0.428558
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0032Entry,4,0.436344
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0064Entry,0,0.530675
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0064Entry,1,0.477065
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0064Entry,2,0.482354
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0064Entry,3,0.441021
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0064Entry,4,0.467511
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0128Entry,0,0.575719
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0128Entry,1,0.481293
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0128Entry,2,0.561171
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0128Entry,3,0.48134
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0128Entry,4,0.503055
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0256Entry,0,0.582415
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0256Entry,1,0.49634
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0256Entry,2,0.583008
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0256Entry,3,0.502736
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0256Entry,4,0.485403
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0512Entry,0,0.604367
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0512Entry,1,0.51215
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0512Entry,2,0.621178
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0512Entry,3,0.517638
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList0512Entry,4,0.517954
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList1024Entry,0,0.623902
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList1024Entry,1,0.541353
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList1024Entry,2,0.629447
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList1024Entry,3,0.518118
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList1024Entry,4,0.501288
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList2048Entry,0,0.607612
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList2048Entry,1,0.533901
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList2048Entry,2,0.638555
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList2048Entry,3,0.510179
24e9e3d0321fbf5277711ed6b3ea4c678d149223,InList2048Entry,4,0.500513
24e9e3d0321fbf5277711ed6b3ea4c678d149223,Multiplication,0,0.099488
24e9e3d0321fbf5277711ed6b3ea4c678d149223,Multiplication,1,0.09463
24e9e3d0321fbf5277711ed6b3ea4c678d149223,Multiplication,2,0.099677
24e9e3d0321fbf5277711ed6b3ea4c678d149223,Multiplication,3,0.096489
24e9e3d0321fbf5277711ed6b3ea4c678d149223,Multiplication,4,0.096249
24e9e3d0321fbf5277711ed6b3ea4c678d149223,OrderBySingleColumn,0,0.038276
24e9e3d0321fbf5277711ed6b3ea4c678d149223,OrderBySingleColumn,1,0.038626
24e9e3d0321fbf5277711ed6b3ea4c678d149223,OrderBySingleColumn,2,0.038355
