revision,benchmark,nrun,time
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleAggregate,0,0.019039
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleAggregate,1,0.017068
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleAggregate,2,0.017006
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleAggregate,3,0.016788
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleAggregate,4,0.017037
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleGroupByAggregate,0,0.129272
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleGroupByAggregate,1,0.129757
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleGroupByAggregate,2,0.129637
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleGroupByAggregate,3,0.129143
297e39cdcb5e5c462bf2bec9318f49881d15df91,SimpleGroupByAggregate,4,0.129964
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0001Entry,0,0.054031
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0001Entry,1,0.056431
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0001Entry,2,0.05549
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0001Entry,3,0.053812
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0001Entry,4,0.054097
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0002Entry,0,0.102123
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0002Entry,1,0.106887
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0002Entry,2,0.101632
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0002Entry,3,0.116766
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0002Entry,4,0.100723
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0004Entry,0,0.191809
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0004Entry,1,0.215494
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0004Entry,2,0.188909
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0004Entry,3,0.189816
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0004Entry,4,0.191325
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0008Entry,0,0.363689
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0008Entry,1,0.389442
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0008Entry,2,0.394364
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0008Entry,3,0.391072
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0008Entry,4,0.380551
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0016Entry,0,0.447024
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0016Entry,1,0.398871
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0016Entry,2,0.426264
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0016Entry,3,0.393874
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0016Entry,4,0.405827
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0032Entry,0,0.475364
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0032Entry,1,0.441154
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0032Entry,2,0.448388
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0032Entry,3,0.428558
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0032Entry,4,0.436344
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0064Entry,0,0.530675
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0064Entry,1,0.477065
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0064Entry,2,0.482354
297e39cdcb5e5c462bf2bec9318f49881d15df91,InList0064Entry,3,0.441021
