revision,benchmark,nrun,time
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleAggregate,0,0.019039
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleAggregate,1,0.017068
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleAggregate,2,0.017006
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleAggregate,3,0.016788
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleAggregate,4,0.017037
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleGroupByAggregate,0,0.129272
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleGroupByAggregate,1,0.129757
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleGroupByAggregate,2,0.129637
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleGroupByAggregate,3,0.129143
2c24d3a2e76ce4635d514b0832054dc8f4daa241,SimpleGroupByAggregate,4,0.129964
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0001Entry,0,0.054031
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0001Entry,1,0.056431
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0001Entry,2,0.05549
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0001Entry,3,0.053812
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0001Entry,4,0.054097
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0002Entry,0,0.102123
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0002Entry,1,0.106887
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0002Entry,2,0.101632
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0002Entry,3,0.116766
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0002Entry,4,0.100723
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0004Entry,0,0.191809
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0004Entry,1,0.215494
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0004Entry,2,0.188909
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0004Entry,3,0.189816
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0004Entry,4,0.191325
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0008Entry,0,0.363689
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0008Entry,1,0.389442
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0008Entry,2,0.394364
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0008Entry,3,0.391072
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0008Entry,4,0.380551
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0016Entry,0,0.447024
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0016Entry,1,0.398871
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0016Entry,2,0.426264
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0016Entry,3,0.393874
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0016Entry,4,0.405827
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0032Entry,0,0.475364
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0032Entry,1,0.441154
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0032Entry,2,0.448388
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0032Entry,3,0.428558
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0032Entry,4,0.436344
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0064Entry,0,0.530675
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0064Entry,1,0.477065
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0064Entry,2,0.482354
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0064Entry,3,0.441021
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0064Entry,4,0.467511
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0128Entry,0,0.575719
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0128Entry,1,0.481293
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0128Entry,2,0.561171
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0128Entry,3,0.48134
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0128Entry,4,0.503055
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0256Entry,0,0.582415
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0256Entry,1,0.49634
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0256Entry,2,0.583008
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0256Entry,3,0.502736
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0256Entry,4,0.485403
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0512Entry,0,0.604367
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0512Entry,1,0.51215
2c24d3a2e76ce4635d514b0832054dc8f4daa241,InList0512Entry,2,0.621178
