revision,benchmark,nrun,time
32c1e53db960f545059b5269b01cf8f28138230b,SimpleAggregate,0,0.019039
32c1e53db960f545059b5269b01cf8f28138230b,SimpleAggregate,1,0.017068
32c1e53db960f545059b5269b01cf8f28138230b,SimpleAggregate,2,0.017006
32c1e53db960f545059b5269b01cf8f28138230b,SimpleAggregate,3,0.016788
32c1e53db960f545059b5269b01cf8f28138230b,SimpleAggregate,4,0.017037
32c1e53db960f545059b5269b01cf8f28138230b,SimpleGroupByAggregate,0,0.129272
32c1e53db960f545059b5269b01cf8f28138230b,SimpleGroupByAggregate,1,0.129757
32c1e53db960f545059b5269b01cf8f28138230b,SimpleGroupByAggregate,2,0.129637
32c1e53db960f545059b5269b01cf8f28138230b,SimpleGroupByAggregate,3,0.129143
32c1e53db960f545059b5269b01cf8f28138230b,SimpleGroupByAggregate,4,0.129964
32c1e53db960f545059b5269b01cf8f28138230b,InList0001Entry,0,0.054031
32c1e53db960f545059b5269b01cf8f28138230b,InList0001Entry,1,0.056431
32c1e53db960f545059b5269b01cf8f28138230b,InList0001Entry,2,0.05549
32c1e53db960f545059b5269b01cf8f28138230b,InList0001Entry,3,0.053812
32c1e53db960f545059b5269b01cf8f28138230b,InList0001Entry,4,0.054097
32c1e53db960f545059b5269b01cf8f28138230b,InList0002Entry,0,0.102123
32c1e53db960f545059b5269b01cf8f28138230b,InList0002Entry,1,0.106887
32c1e53db960f545059b5269b01cf8f28138230b,InList0002Entry,2,0.101632
32c1e53db960f545059b5269b01cf8f28138230b,InList0002Entry,3,0.116766
32c1e53db960f545059b5269b01cf8f28138230b,InList0002Entry,4,0.100723
32c1e53db960f545059b5269b01cf8f28138230b,InList0004Entry,0,0.191809
32c1e53db960f545059b5269b01cf8f28138230b,InList0004Entry,1,0.215494
32c1e53db960f545059b5269b01cf8f28138230b,InList0004Entry,2,0.188909
32c1e53db960f545059b5269b01cf8f28138230b,InList0004Entry,3,0.189816
32c1e53db960f545059b5269b01cf8f28138230b,InList0004Entry,4,0.191325
32c1e53db960f545059b5269b01cf8f28138230b,InList0008Entry,0,0.363689
32c1e53db960f545059b5269b01cf8f28138230b,InList0008Entry,1,0.389442
32c1e53db960f545059b5269b01cf8f28138230b,InList0008Entry,2,0.394364
32c1e53db960f545059b5269b01cf8f28138230b,InList0008Entry,3,0.391072
32c1e53db960f545059b5269b01cf8f28138230b,InList0008Entry,4,0.380551
32c1e53db960f545059b5269b01cf8f28138230b,InList0016Entry,0,0.447024
32c1e53db960f545059b5269b01cf8f28138230b,InList0016Entry,1,0.398871
32c1e53db960f545059b5269b01cf8f28138230b,InList0016Entry,2,0.426264
32c1e53db960f545059b5269b01cf8f28138230b,InList0016Entry,3,0.393874
32c1e53db960f545059b5269b01cf8f28138230b,InList0016Entry,4,0.405827
32c1e53db960f545059b5269b01cf8f28138230b,InList0032Entry,0,0.475364
32c1e53db960f545059b5269b01cf8f28138230b,InList0032Entry,1,0.441154
32c1e53db960f545059b5269b01cf8f28138230b,InList0032Entry,2,0.448388
32c1e53db960f545059b5269b01cf8f28138230b,InList0032Entry,3,0.428558
32c1e53db960f545059b5269b01cf8f28138230b,InList0032Entry,4,0.436344
32c1e53db960f545059b5269b01cf8f28138230b,InList0064Entry,0,0.530675
32c1e53db960f545059b5269b01cf8f28138230b,InList0064Entry,1,0.477065
32c1e53db960f545059b5269b01cf8f28138230b,InList0064Entry,2,0.482354
32c1e53db960f545059b5269b01cf8f28138230b,InList0064Entry,3,0.441021
32c1e53db960f545059b5269b01cf8f28138230b,InList0064Entry,4,0.467511
32c1e53db960f545059b5269b01cf8f28138230b,InList0128Entry,0,0.575719
32c1e53db960f545059b5269b01cf8f28138230b,InList0128Entry,1,0.481293
32c1e53db960f545059b5269b01cf8f28138230b,InList0128Entry,2,0.561171
32c1e53db960f545059b5269b01cf8f28138230b,InList0128Entry,3,0.48134
32c1e53db960f545059b5269b01cf8f28138230b,InList0128Entry,4,0.503055
32c1e53db960f545059b5269b01cf8f28138230b,InList0256Entry,0,0.582415
32c1e53db960f545059b5269b01cf8f28138230b,InList0256Entry,1,0.49634
32c1e53db960f545059b5269b01cf8f28138230b,InList0256Entry,2,0.583008
32c1e53db960f545059b5269b01cf8f28138230b,InList0256Entry,3,0.502736
32c1e53db960f545059b5269b01cf8f28138230b,InList0256Entry,4,0.485403
32c1e53db960f545059b5269b01cf8f28138230b,InList0512Entry,0,0.604367
32c1e53db960f545059b5269b01cf8f28138230b,InList0512Entry,1,0.51215
32c1e53db960f545059b5269b01cf8f28138230b,InList0512Entry,2,0.621178
32c1e53db960f545059b5269b01cf8f28138230b,InList0512Entry,3,0.517638
32c1e53db960f545059b5269b01cf8f28138230b,InList0512Entry,4,0.517954
32c1e53db960f545059b5269b01cf8f28138230b,InList1024Entry,0,0.623902
32c1e53db960f545059b5269b01cf8f28138230b,InList1024Entry,1,0.541353
32c1e53db960f545059b5269b01cf8f28138230b,InList1024Entry,2,0.629447
32c1e53db960f545059b5269b01cf8f28138230b,InList1024Entry,3,0.518118
32c1e53db960f545059b5269b01cf8f28138230b,InList1024Entry,4,0.501288
32c1e53db960f545059b5269b01cf8f28138230b,InList2048Entry,0,0.607612
32c1e53db960f545059b5269b01cf8f28138230b,InList2048Entry,1,0.533901
32c1e53db960f545059b5269b01cf8f28138230b,InList2048Entry,2,0.638555
32c1e53db960f545059b5269b01cf8f28138230b,InList2048Entry,3,0.510179
32c1e53db960f545059b5269b01cf8f28138230b,InList2048Entry,4,0.500513
32c1e53db960f545059b5269b01cf8f28138230b,Multiplication,0,0.099488
32c1e53db960f545059b5269b01cf8f28138230b,Multiplication,1,0.09463
32c1e53db960f545059b5269b01cf8f28138230b,Multiplication,2,0.099677
32c1e53db960f545059b5269b01cf8f28138230b,Multiplication,3,0.096489
32c1e53db960f545059b5269b01cf8f28138230b,Multiplication,4,0.096249
32c1e53db960f545059b5269b01cf8f28138230b,OrderBySingleColumn,0,0.038276
32c1e53db960f545059b5269b01cf8f28138230b,OrderBySingleColumn,1,0.038626
32c1e53db960f545059b5269b01cf8f28138230b,OrderBySingleColumn,2,0.038355
32c1e53db960f545059b5269b01cf8f28138230b,OrderBySingleColumn,3,0.038566
32c1e53db960f545059b5269b01cf8f28138230b,OrderBySingleColumn,4,0.038356
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithoutIndex,0,0.262917
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithoutIndex,1,0.261569
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithoutIndex,2,0.257905
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithoutIndex,3,0.262266
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithoutIndex,4,0.257115
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithIndexART,0,0.000182
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithIndexART,1,0.000127
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithIndexART,2,0.000257
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithIndexART,3,0.000175
32c1e53db960f545059b5269b01cf8f28138230b,PointQueryWithIndexART,4,0.000114
32c1e53db960f545059b5269b01cf8f28138230b,IndexCreationART,0,T
32c1e53db960f545059b5269b01cf8f28138230b,RangeJoin,0,0.159608
32c1e53db960f545059b5269b01cf8f28138230b,RangeJoin,1,0.137414
32c1e53db960f545059b5269b01cf8f28138230b,RangeJoin,2,0.137366
32c1e53db960f545059b5269b01cf8f28138230b,RangeJoin,3,0.138201
32c1e53db960f545059b5269b01cf8f28138230b,RangeJoin,4,0.137292
32c1e53db960f545059b5269b01cf8f28138230b,RangeQueryWithoutIndex,0,0.576838
32c1e53db960f545059b5269b01cf8f28138230b,RangeQueryWithoutIndex,1,0.572227
32c1e53db960f545059b5269b01cf8f28138230b,RangeQueryWithoutIndex,2,0.571126
32c1e53db960f545059b5269b01cf8f28138230b,RangeQueryWithoutIndex,3,0.569334
32c1e53db960f545059b5269b01cf8f28138230b,RangeQueryWithoutIndex,4,0.569335
32c1e53db960f545059b5269b01cf8f28138230b,RangeQueryWithIndexART,0,0.000255
32c1e53db960f545059b5269b01cf8f28138230b,RangeQueryWithIndexART,1,0.000248
32c1e53db960f545059b5269b01cf8f28138230b,RangeQueryWithIndexART,2,0.00028
32c1e53db960f545059b5269b01cf8f28138230b,RangeQueryWithIndexART,3,0.000491
