revision,benchmark,nrun,time
3989acfec9585dd0647b682f987601f11777a2f1,SimpleAggregate,0,0.019039
3989acfec9585dd0647b682f987601f11777a2f1,SimpleAggregate,1,0.017068
3989acfec9585dd0647b682f987601f11777a2f1,SimpleAggregate,2,0.017006
3989acfec9585dd0647b682f987601f11777a2f1,SimpleAggregate,3,0.016788
3989acfec9585dd0647b682f987601f11777a2f1,SimpleAggregate,4,0.017037
3989acfec9585dd0647b682f987601f11777a2f1,SimpleGroupByAggregate,0,0.129272
3989acfec9585dd0647b682f987601f11777a2f1,SimpleGroupByAggregate,1,0.129757
3989acfec9585dd0647b682f987601f11777a2f1,SimpleGroupByAggregate,2,0.129637
3989acfec9585dd0647b682f987601f11777a2f1,SimpleGroupByAggregate,3,0.129143
3989acfec9585dd0647b682f987601f11777a2f1,SimpleGroupByAggregate,4,0.129964
3989acfec9585dd0647b682f987601f11777a2f1,InList0001Entry,0,0.054031
3989acfec9585dd0647b682f987601f11777a2f1,InList0001Entry,1,0.056431
3989acfec9585dd0647b682f987601f11777a2f1,InList0001Entry,2,0.05549
3989acfec9585dd0647b682f987601f11777a2f1,InList0001Entry,3,0.053812
3989acfec9585dd0647b682f987601f11777a2f1,InList0001Entry,4,0.054097
3989acfec9585dd0647b682f987601f11777a2f1,InList0002Entry,0,0.102123
3989acfec9585dd0647b682f987601f11777a2f1,InList0002Entry,1,0.106887
3989acfec9585dd0647b682f987601f11777a2f1,InList0002Entry,2,0.101632
3989acfec9585dd0647b682f987601f11777a2f1,InList0002Entry,3,0.116766
3989acfec9585dd0647b682f987601f11777a2f1,InList0002Entry,4,0.100723
3989acfec9585dd0647b682f987601f11777a2f1,InList0004Entry,0,0.191809
3989acfec9585dd0647b682f987601f11777a2f1,InList0004Entry,1,0.215494
3989acfec9585dd0647b682f987601f11777a2f1,InList0004Entry,2,0.188909
3989acfec9585dd0647b682f987601f11777a2f1,InList0004Entry,3,0.189816
3989acfec9585dd0647b682f987601f11777a2f1,InList0004Entry,4,0.191325
3989acfec9585dd0647b682f987601f11777a2f1,InList0008Entry,0,0.363689
3989acfec9585dd0647b682f987601f11777a2f1,InList0008Entry,1,0.389442
3989acfec9585dd0647b682f987601f11777a2f1,InList0008Entry,2,0.394364
3989acfec9585dd0647b682f987601f11777a2f1,InList0008Entry,3,0.391072
3989acfec9585dd0647b682f987601f11777a2f1,InList0008Entry,4,0.380551
3989acfec9585dd0647b682f987601f11777a2f1,InList0016Entry,0,0.447024
3989acfec9585dd0647b682f987601f11777a2f1,InList0016Entry,1,0.398871
3989acfec9585dd0647b682f987601f11777a2f1,InList0016Entry,2,0.426264
3989acfec9585dd0647b682f987601f11777a2f1,InList0016Entry,3,0.393874
3989acfec9585dd0647b682f987601f11777a2f1,InList0016Entry,4,0.405827
