revision,benchmark,nrun,time
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleAggregate,0,0.019039
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleAggregate,1,0.017068
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleAggregate,2,0.017006
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleAggregate,3,0.016788
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleAggregate,4,0.017037
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleGroupByAggregate,0,0.129272
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleGroupByAggregate,1,0.129757
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleGroupByAggregate,2,0.129637
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleGroupByAggregate,3,0.129143
40db7cd3fa117327cbbd83b724848925960fa3a2,SimpleGroupByAggregate,4,0.129964
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0001Entry,0,0.054031
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0001Entry,1,0.056431
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0001Entry,2,0.05549
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0001Entry,3,0.053812
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0001Entry,4,0.054097
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0002Entry,0,0.102123
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0002Entry,1,0.106887
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0002Entry,2,0.101632
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0002Entry,3,0.116766
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0002Entry,4,0.100723
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0004Entry,0,0.191809
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0004Entry,1,0.215494
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0004Entry,2,0.188909
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0004Entry,3,0.189816
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0004Entry,4,0.191325
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0008Entry,0,0.363689
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0008Entry,1,0.389442
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0008Entry,2,0.394364
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0008Entry,3,0.391072
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0008Entry,4,0.380551
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0016Entry,0,0.447024
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0016Entry,1,0.398871
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0016Entry,2,0.426264
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0016Entry,3,0.393874
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0016Entry,4,0.405827
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0032Entry,0,0.475364
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0032Entry,1,0.441154
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0032Entry,2,0.448388
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0032Entry,3,0.428558
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0032Entry,4,0.436344
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0064Entry,0,0.530675
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0064Entry,1,0.477065
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0064Entry,2,0.482354
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0064Entry,3,0.441021
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0064Entry,4,0.467511
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0128Entry,0,0.575719
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0128Entry,1,0.481293
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0128Entry,2,0.561171
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0128Entry,3,0.48134
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0128Entry,4,0.503055
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0256Entry,0,0.582415
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0256Entry,1,0.49634
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0256Entry,2,0.583008
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0256Entry,3,0.502736
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0256Entry,4,0.485403
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0512Entry,0,0.604367
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0512Entry,1,0.51215
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0512Entry,2,0.621178
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0512Entry,3,0.517638
40db7cd3fa117327cbbd83b724848925960fa3a2,InList0512Entry,4,0.517954
40db7cd3fa117327cbbd83b724848925960fa3a2,InList1024Entry,0,0.623902
40db7cd3fa117327cbbd83b724848925960fa3a2,InList1024Entry,1,0.541353
40db7cd3fa117327cbbd83b724848925960fa3a2,InList1024Entry,2,0.629447
40db7cd3fa117327cbbd83b724848925960fa3a2,InList1024Entry,3,0.518118
40db7cd3fa117327cbbd83b724848925960fa3a2,InList1024Entry,4,0.501288
40db7cd3fa117327cbbd83b724848925960fa3a2,InList2048Entry,0,0.607612
40db7cd3fa117327cbbd83b724848925960fa3a2,InList2048Entry,1,0.533901
40db7cd3fa117327cbbd83b724848925960fa3a2,InList2048Entry,2,0.638555
40db7cd3fa117327cbbd83b724848925960fa3a2,InList2048Entry,3,0.510179
40db7cd3fa117327cbbd83b724848925960fa3a2,InList2048Entry,4,0.500513
40db7cd3fa117327cbbd83b724848925960fa3a2,Multiplication,0,0.099488
40db7cd3fa117327cbbd83b724848925960fa3a2,Multiplication,1,0.09463
40db7cd3fa117327cbbd83b724848925960fa3a2,Multiplication,2,0.099677
40db7cd3fa117327cbbd83b724848925960fa3a2,Multiplication,3,0.096489
40db7cd3fa117327cbbd83b724848925960fa3a2,Multiplication,4,0.096249
40db7cd3fa117327cbbd83b724848925960fa3a2,OrderBySingleColumn,0,0.038276
40db7cd3fa117327cbbd83b724848925960fa3a2,OrderBySingleColumn,1,0.038626
40db7cd3fa117327cbbd83b724848925960fa3a2,OrderBySingleColumn,2,0.038355
40db7cd3fa117327cbbd83b724848925960fa3a2,OrderBySingleColumn,3,0.038566
40db7cd3fa117327cbbd83b724848925960fa3a2,OrderBySingleColumn,4,0.038356
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithoutIndex,0,0.262917
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithoutIndex,1,0.261569
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithoutIndex,2,0.257905
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithoutIndex,3,0.262266
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithoutIndex,4,0.257115
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithIndexART,0,0.000182
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithIndexART,1,0.000127
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithIndexART,2,0.000257
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithIndexART,3,0.000175
40db7cd3fa117327cbbd83b724848925960fa3a2,PointQueryWithIndexART,4,0.000114
40db7cd3fa117327cbbd83b724848925960fa3a2,IndexCreationART,0,T
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeJoin,0,0.159608
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeJoin,1,0.137414
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeJoin,2,0.137366
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeJoin,3,0.138201
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeJoin,4,0.137292
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithoutIndex,0,0.576838
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithoutIndex,1,0.572227
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithoutIndex,2,0.571126
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithoutIndex,3,0.569334
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithoutIndex,4,0.569335
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithIndexART,0,0.000255
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithIndexART,1,0.000248
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithIndexART,2,0.00028
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithIndexART,3,0.000491
40db7cd3fa117327cbbd83b724848925960fa3a2,RangeQueryWithIndexART,4,0.00025
40db7cd3fa117327cbbd83b724848925960fa3a2,Window,0,0.160346
40db7cd3fa117327cbbd83b724848925960fa3a2,Window,1,0.160212
40db7cd3fa117327cbbd83b724848925960fa3a2,Window,2,0.159886
40db7cd3fa117327cbbd83b724848925960fa3a2,Window,3,0.160357
40db7cd3fa117327cbbd83b724848925960fa3a2,Window,4,0.160442
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Memory,0,1.432427
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Memory,1,1.445717
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Memory,2,1.446134
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Memory,3,1.451596
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Memory,4,1.446057
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Disk,0,1.332728
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Disk,1,1.33691
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Disk,2,1.325225
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Disk,3,1.334592
40db7cd3fa117327cbbd83b724848925960fa3a2,SELECT1Disk,4,1.335577
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemSimpleAggregate,0,0.011012
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemSimpleAggregate,1,0.012532
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemSimpleAggregate,2,0.014108
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemSimpleAggregate,3,0.013817
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemSimpleAggregate,4,0.013177
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupAggregate,0,0.071457
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupAggregate,1,0.073678
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupAggregate,2,0.071728
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupAggregate,3,0.072042
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupAggregate,4,0.073617
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupStringAggregate,0,0.195515
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupStringAggregate,1,0.200045
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupStringAggregate,2,0.195303
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupStringAggregate,3,0.197506
40db7cd3fa117327cbbd83b724848925960fa3a2,LineitemGroupStringAggregate,4,0.191016
40db7cd3fa117327cbbd83b724848925960fa3a2,Q01,0,0.586657
40db7cd3fa117327cbbd83b724848925960fa3a2,Q01,1,0.585745
40db7cd3fa117327cbbd83b724848925960fa3a2,Q01,2,0.585308
40db7cd3fa117327cbbd83b724848925960fa3a2,Q01,3,0.586596
40db7cd3fa117327cbbd83b724848925960fa3a2,Q01,4,0.579787
40db7cd3fa117327cbbd83b724848925960fa3a2,Q02,0,0.381548
40db7cd3fa117327cbbd83b724848925960fa3a2,Q02,1,0.37492
40db7cd3fa117327cbbd83b724848925960fa3a2,Q02,2,0.38
40db7cd3fa117327cbbd83b724848925960fa3a2,Q02,3,0.37268
40db7cd3fa117327cbbd83b724848925960fa3a2,Q02,4,0.377405
40db7cd3fa117327cbbd83b724848925960fa3a2,Q03,0,0.334464
40db7cd3fa117327cbbd83b724848925960fa3a2,Q03,1,0.326097
40db7cd3fa117327cbbd83b724848925960fa3a2,Q03,2,0.345422
40db7cd3fa117327cbbd83b724848925960fa3a2,Q03,3,0.340066
40db7cd3fa117327cbbd83b724848925960fa3a2,Q03,4,0.335337
40db7cd3fa117327cbbd83b724848925960fa3a2,Q04,0,1.275258
40db7cd3fa117327cbbd83b724848925960fa3a2,Q04,1,1.288399
40db7cd3fa117327cbbd83b724848925960fa3a2,Q04,2,1.281663
40db7cd3fa117327cbbd83b724848925960fa3a2,Q04,3,1.281622
40db7cd3fa117327cbbd83b724848925960fa3a2,Q04,4,1.289822
40db7cd3fa117327cbbd83b724848925960fa3a2,Q05,0,0.5416
40db7cd3fa117327cbbd83b724848925960fa3a2,Q05,1,0.536724
40db7cd3fa117327cbbd83b724848925960fa3a2,Q05,2,0.53697
40db7cd3fa117327cbbd83b724848925960fa3a2,Q05,3,0.538085
40db7cd3fa117327cbbd83b724848925960fa3a2,Q05,4,0.533118
40db7cd3fa117327cbbd83b724848925960fa3a2,Q06,0,0.117299
40db7cd3fa117327cbbd83b724848925960fa3a2,Q06,1,0.116196
40db7cd3fa117327cbbd83b724848925960fa3a2,Q06,2,0.11658
40db7cd3fa117327cbbd83b724848925960fa3a2,Q06,3,0.117091
40db7cd3fa117327cbbd83b724848925960fa3a2,Q06,4,0.117066
40db7cd3fa117327cbbd83b724848925960fa3a2,Q07,0,0.98725
40db7cd3fa117327cbbd83b724848925960fa3a2,Q07,1,0.989667
40db7cd3fa117327cbbd83b724848925960fa3a2,Q07,2,0.985216
40db7cd3fa117327cbbd83b724848925960fa3a2,Q07,3,0.982913
40db7cd3fa117327cbbd83b724848925960fa3a2,Q07,4,0.971869
