revision,benchmark,nrun,time
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleAggregate,0,0.019039
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleAggregate,1,0.017068
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleAggregate,2,0.017006
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleAggregate,3,0.016788
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleAggregate,4,0.017037
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleGroupByAggregate,0,0.129272
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleGroupByAggregate,1,0.129757
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleGroupByAggregate,2,0.129637
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleGroupByAggregate,3,0.129143
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,SimpleGroupByAggregate,4,0.129964
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0001Entry,0,0.054031
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0001Entry,1,0.056431
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0001Entry,2,0.05549
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0001Entry,3,0.053812
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0001Entry,4,0.054097
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0002Entry,0,0.102123
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0002Entry,1,0.106887
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0002Entry,2,0.101632
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0002Entry,3,0.116766
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0002Entry,4,0.100723
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0004Entry,0,0.191809
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0004Entry,1,0.215494
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0004Entry,2,0.188909
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0004Entry,3,0.189816
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0004Entry,4,0.191325
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0008Entry,0,0.363689
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0008Entry,1,0.389442
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0008Entry,2,0.394364
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0008Entry,3,0.391072
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0008Entry,4,0.380551
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0016Entry,0,0.447024
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0016Entry,1,0.398871
49cd0a15c4d5e434627ab7249cdccb4dfb10773c,InList0016Entry,2,0.426264
