revision,benchmark,nrun,time
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleAggregate,0,0.019039
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleAggregate,1,0.017068
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleAggregate,2,0.017006
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleAggregate,3,0.016788
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleAggregate,4,0.017037
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleGroupByAggregate,0,0.129272
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleGroupByAggregate,1,0.129757
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleGroupByAggregate,2,0.129637
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleGroupByAggregate,3,0.129143
59a24af98009e923140548e9be90eb4dcc3c1314,SimpleGroupByAggregate,4,0.129964
59a24af98009e923140548e9be90eb4dcc3c1314,InList0001Entry,0,0.054031
59a24af98009e923140548e9be90eb4dcc3c1314,InList0001Entry,1,0.056431
59a24af98009e923140548e9be90eb4dcc3c1314,InList0001Entry,2,0.05549
59a24af98009e923140548e9be90eb4dcc3c1314,InList0001Entry,3,0.053812
59a24af98009e923140548e9be90eb4dcc3c1314,InList0001Entry,4,0.054097
59a24af98009e923140548e9be90eb4dcc3c1314,InList0002Entry,0,0.102123
59a24af98009e923140548e9be90eb4dcc3c1314,InList0002Entry,1,0.106887
59a24af98009e923140548e9be90eb4dcc3c1314,InList0002Entry,2,0.101632
59a24af98009e923140548e9be90eb4dcc3c1314,InList0002Entry,3,0.116766
59a24af98009e923140548e9be90eb4dcc3c1314,InList0002Entry,4,0.100723
59a24af98009e923140548e9be90eb4dcc3c1314,InList0004Entry,0,0.191809
59a24af98009e923140548e9be90eb4dcc3c1314,InList0004Entry,1,0.215494
59a24af98009e923140548e9be90eb4dcc3c1314,InList0004Entry,2,0.188909
59a24af98009e923140548e9be90eb4dcc3c1314,InList0004Entry,3,0.189816
59a24af98009e923140548e9be90eb4dcc3c1314,InList0004Entry,4,0.191325
59a24af98009e923140548e9be90eb4dcc3c1314,InList0008Entry,0,0.363689
59a24af98009e923140548e9be90eb4dcc3c1314,InList0008Entry,1,0.389442
59a24af98009e923140548e9be90eb4dcc3c1314,InList0008Entry,2,0.394364
59a24af98009e923140548e9be90eb4dcc3c1314,InList0008Entry,3,0.391072
59a24af98009e923140548e9be90eb4dcc3c1314,InList0008Entry,4,0.380551
59a24af98009e923140548e9be90eb4dcc3c1314,InList0016Entry,0,0.447024
59a24af98009e923140548e9be90eb4dcc3c1314,InList0016Entry,1,0.398871
59a24af98009e923140548e9be90eb4dcc3c1314,InList0016Entry,2,0.426264
59a24af98009e923140548e9be90eb4dcc3c1314,InList0016Entry,3,0.393874
59a24af98009e923140548e9be90eb4dcc3c1314,InList0016Entry,4,0.405827
59a24af98009e923140548e9be90eb4dcc3c1314,InList0032Entry,0,0.475364
59a24af98009e923140548e9be90eb4dcc3c1314,InList0032Entry,1,0.441154
59a24af98009e923140548e9be90eb4dcc3c1314,InList0032Entry,2,0.448388
59a24af98009e923140548e9be90eb4dcc3c1314,InList0032Entry,3,0.428558
59a24af98009e923140548e9be90eb4dcc3c1314,InList0032Entry,4,0.436344
59a24af98009e923140548e9be90eb4dcc3c1314,InList0064Entry,0,0.530675
59a24af98009e923140548e9be90eb4dcc3c1314,InList0064Entry,1,0.477065
59a24af98009e923140548e9be90eb4dcc3c1314,InList0064Entry,2,0.482354
59a24af98009e923140548e9be90eb4dcc3c1314,InList0064Entry,3,0.441021
59a24af98009e923140548e9be90eb4dcc3c1314,InList0064Entry,4,0.467511
59a24af98009e923140548e9be90eb4dcc3c1314,InList0128Entry,0,0.575719
59a24af98009e923140548e9be90eb4dcc3c1314,InList0128Entry,1,0.481293
59a24af98009e923140548e9be90eb4dcc3c1314,InList0128Entry,2,0.561171
59a24af98009e923140548e9be90eb4dcc3c1314,InList0128Entry,3,0.48134
59a24af98009e923140548e9be90eb4dcc3c1314,InList0128Entry,4,0.503055
59a24af98009e923140548e9be90eb4dcc3c1314,InList0256Entry,0,0.582415
59a24af98009e923140548e9be90eb4dcc3c1314,InList0256Entry,1,0.49634
59a24af98009e923140548e9be90eb4dcc3c1314,InList0256Entry,2,0.583008
59a24af98009e923140548e9be90eb4dcc3c1314,InList0256Entry,3,0.502736
59a24af98009e923140548e9be90eb4dcc3c1314,InList0256Entry,4,0.485403
59a24af98009e923140548e9be90eb4dcc3c1314,InList0512Entry,0,0.604367
59a24af98009e923140548e9be90eb4dcc3c1314,InList0512Entry,1,0.51215
59a24af98009e923140548e9be90eb4dcc3c1314,InList0512Entry,2,0.621178
59a24af98009e923140548e9be90eb4dcc3c1314,InList0512Entry,3,0.517638
59a24af98009e923140548e9be90eb4dcc3c1314,InList0512Entry,4,0.517954
59a24af98009e923140548e9be90eb4dcc3c1314,InList1024Entry,0,0.623902
59a24af98009e923140548e9be90eb4dcc3c1314,InList1024Entry,1,0.541353
59a24af98009e923140548e9be90eb4dcc3c1314,InList1024Entry,2,0.629447
59a24af98009e923140548e9be90eb4dcc3c1314,InList1024Entry,3,0.518118
