revision,benchmark,nrun,time
6248dbe1af31163bfa975b016072cac4c0139906,SimpleAggregate,0,0.019039
6248dbe1af31163bfa975b016072cac4c0139906,SimpleAggregate,1,0.017068
6248dbe1af31163bfa975b016072cac4c0139906,SimpleAggregate,2,0.017006
6248dbe1af31163bfa975b016072cac4c0139906,SimpleAggregate,3,0.016788
6248dbe1af31163bfa975b016072cac4c0139906,SimpleAggregate,4,0.017037
6248dbe1af31163bfa975b016072cac4c0139906,SimpleGroupByAggregate,0,0.129272
6248dbe1af31163bfa975b016072cac4c0139906,SimpleGroupByAggregate,1,0.129757
6248dbe1af31163bfa975b016072cac4c0139906,SimpleGroupByAggregate,2,0.129637
6248dbe1af31163bfa975b016072cac4c0139906,SimpleGroupByAggregate,3,0.129143
6248dbe1af31163bfa975b016072cac4c0139906,SimpleGroupByAggregate,4,0.129964
6248dbe1af31163bfa975b016072cac4c0139906,InList0001Entry,0,0.054031
6248dbe1af31163bfa975b016072cac4c0139906,InList0001Entry,1,0.056431
6248dbe1af31163bfa975b016072cac4c0139906,InList0001Entry,2,0.05549
6248dbe1af31163bfa975b016072cac4c0139906,InList0001Entry,3,0.053812
6248dbe1af31163bfa975b016072cac4c0139906,InList0001Entry,4,0.054097
6248dbe1af31163bfa975b016072cac4c0139906,InList0002Entry,0,0.102123
6248dbe1af31163bfa975b016072cac4c0139906,InList0002Entry,1,0.106887
6248dbe1af31163bfa975b016072cac4c0139906,InList0002Entry,2,0.101632
6248dbe1af31163bfa975b016072cac4c0139906,InList0002Entry,3,0.116766
6248dbe1af31163bfa975b016072cac4c0139906,InList0002Entry,4,0.100723
6248dbe1af31163bfa975b016072cac4c0139906,InList0004Entry,0,0.191809
6248dbe1af31163bfa975b016072cac4c0139906,InList0004Entry,1,0.215494
6248dbe1af31163bfa975b016072cac4c0139906,InList0004Entry,2,0.188909
6248dbe1af31163bfa975b016072cac4c0139906,InList0004Entry,3,0.189816
6248dbe1af31163bfa975b016072cac4c0139906,InList0004Entry,4,0.191325
6248dbe1af31163bfa975b016072cac4c0139906,InList0008Entry,0,0.363689
6248dbe1af31163bfa975b016072cac4c0139906,InList0008Entry,1,0.389442
6248dbe1af31163bfa975b016072cac4c0139906,InList0008Entry,2,0.394364
6248dbe1af31163bfa975b016072cac4c0139906,InList0008Entry,3,0.391072
6248dbe1af31163bfa975b016072cac4c0139906,InList0008Entry,4,0.380551
6248dbe1af31163bfa975b016072cac4c0139906,InList0016Entry,0,0.447024
6248dbe1af31163bfa975b016072cac4c0139906,InList0016Entry,1,0.398871
6248dbe1af31163bfa975b016072cac4c0139906,InList0016Entry,2,0.426264
6248dbe1af31163bfa975b016072cac4c0139906,InList0016Entry,3,0.393874
6248dbe1af31163bfa975b016072cac4c0139906,InList0016Entry,4,0.405827
6248dbe1af31163bfa975b016072cac4c0139906,InList0032Entry,0,0.475364
6248dbe1af31163bfa975b016072cac4c0139906,InList0032Entry,1,0.441154
6248dbe1af31163bfa975b016072cac4c0139906,InList0032Entry,2,0.448388
6248dbe1af31163bfa975b016072cac4c0139906,InList0032Entry,3,0.428558
6248dbe1af31163bfa975b016072cac4c0139906,InList0032Entry,4,0.436344
6248dbe1af31163bfa975b016072cac4c0139906,InList0064Entry,0,0.530675
6248dbe1af31163bfa975b016072cac4c0139906,InList0064Entry,1,0.477065
6248dbe1af31163bfa975b016072cac4c0139906,InList0064Entry,2,0.482354
6248dbe1af31163bfa975b016072cac4c0139906,InList0064Entry,3,0.441021
6248dbe1af31163bfa975b016072cac4c0139906,InList0064Entry,4,0.467511
6248dbe1af31163bfa975b016072cac4c0139906,InList0128Entry,0,0.575719
6248dbe1af31163bfa975b016072cac4c0139906,InList0128Entry,1,0.481293
6248dbe1af31163bfa975b016072cac4c0139906,InList0128Entry,2,0.561171
6248dbe1af31163bfa975b016072cac4c0139906,InList0128Entry,3,0.48134
6248dbe1af31163bfa975b016072cac4c0139906,InList0128Entry,4,0.503055
6248dbe1af31163bfa975b016072cac4c0139906,InList0256Entry,0,0.582415
6248dbe1af31163bfa975b016072cac4c0139906,InList0256Entry,1,0.49634
6248dbe1af31163bfa975b016072cac4c0139906,InList0256Entry,2,0.583008
6248dbe1af31163bfa975b016072cac4c0139906,InList0256Entry,3,0.502736
6248dbe1af31163bfa975b016072cac4c0139906,InList0256Entry,4,0.485403
6248dbe1af31163bfa975b016072cac4c0139906,InList0512Entry,0,0.604367
6248dbe1af31163bfa975b016072cac4c0139906,InList0512Entry,1,0.51215
6248dbe1af31163bfa975b016072cac4c0139906,InList0512Entry,2,0.621178
6248dbe1af31163bfa975b016072cac4c0139906,InList0512Entry,3,0.517638
6248dbe1af31163bfa975b016072cac4c0139906,InList0512Entry,4,0.517954
6248dbe1af31163bfa975b016072cac4c0139906,InList1024Entry,0,0.623902
6248dbe1af31163bfa975b016072cac4c0139906,InList1024Entry,1,0.541353
6248dbe1af31163bfa975b016072cac4c0139906,InList1024Entry,2,0.629447
6248dbe1af31163bfa975b016072cac4c0139906,InList1024Entry,3,0.518118
6248dbe1af31163bfa975b016072cac4c0139906,InList1024Entry,4,0.501288
6248dbe1af31163bfa975b016072cac4c0139906,InList2048Entry,0,0.607612
6248dbe1af31163bfa975b016072cac4c0139906,InList2048Entry,1,0.533901
6248dbe1af31163bfa975b016072cac4c0139906,InList2048Entry,2,0.638555
6248dbe1af31163bfa975b016072cac4c0139906,InList2048Entry,3,0.510179
6248dbe1af31163bfa975b016072cac4c0139906,InList2048Entry,4,0.500513
6248dbe1af31163bfa975b016072cac4c0139906,Multiplication,0,0.099488
6248dbe1af31163bfa975b016072cac4c0139906,Multiplication,1,0.09463
6248dbe1af31163bfa975b016072cac4c0139906,Multiplication,2,0.099677
6248dbe1af31163bfa975b016072cac4c0139906,Multiplication,3,0.096489
