revision,benchmark,nrun,time
69f931fb495279250b70b45a70964b6035bb0b62,SimpleAggregate,0,0.019039
69f931fb495279250b70b45a70964b6035bb0b62,SimpleAggregate,1,0.017068
69f931fb495279250b70b45a70964b6035bb0b62,SimpleAggregate,2,0.017006
69f931fb495279250b70b45a70964b6035bb0b62,SimpleAggregate,3,0.016788
69f931fb495279250b70b45a70964b6035bb0b62,SimpleAggregate,4,0.017037
69f931fb495279250b70b45a70964b6035bb0b62,SimpleGroupByAggregate,0,0.129272
69f931fb495279250b70b45a70964b6035bb0b62,SimpleGroupByAggregate,1,0.129757
69f931fb495279250b70b45a70964b6035bb0b62,SimpleGroupByAggregate,2,0.129637
69f931fb495279250b70b45a70964b6035bb0b62,SimpleGroupByAggregate,3,0.129143
69f931fb495279250b70b45a70964b6035bb0b62,SimpleGroupByAggregate,4,0.129964
69f931fb495279250b70b45a70964b6035bb0b62,InList0001Entry,0,0.054031
69f931fb495279250b70b45a70964b6035bb0b62,InList0001Entry,1,0.056431
69f931fb495279250b70b45a70964b6035bb0b62,InList0001Entry,2,0.05549
69f931fb495279250b70b45a70964b6035bb0b62,InList0001Entry,3,0.053812
69f931fb495279250b70b45a70964b6035bb0b62,InList0001Entry,4,0.054097
69f931fb495279250b70b45a70964b6035bb0b62,InList0002Entry,0,0.102123
69f931fb495279250b70b45a70964b6035bb0b62,InList0002Entry,1,0.106887
69f931fb495279250b70b45a70964b6035bb0b62,InList0002Entry,2,0.101632
69f931fb495279250b70b45a70964b6035bb0b62,InList0002Entry,3,0.116766
69f931fb495279250b70b45a70964b6035bb0b62,InList0002Entry,4,0.100723
69f931fb495279250b70b45a70964b6035bb0b62,InList0004Entry,0,0.191809
69f931fb495279250b70b45a70964b6035bb0b62,InList0004Entry,1,0.215494
69f931fb495279250b70b45a70964b6035bb0b62,InList0004Entry,2,0.188909
69f931fb495279250b70b45a70964b6035bb0b62,InList0004Entry,3,0.189816
69f931fb495279250b70b45a70964b6035bb0b62,InList0004Entry,4,0.191325
69f931fb495279250b70b45a70964b6035bb0b62,InList0008Entry,0,0.363689
69f931fb495279250b70b45a70964b6035bb0b62,InList0008Entry,1,0.389442
69f931fb495279250b70b45a70964b6035bb0b62,InList0008Entry,2,0.394364
69f931fb495279250b70b45a70964b6035bb0b62,InList0008Entry,3,0.391072
69f931fb495279250b70b45a70964b6035bb0b62,InList0008Entry,4,0.380551
69f931fb495279250b70b45a70964b6035bb0b62,InList0016Entry,0,0.447024
69f931fb495279250b70b45a70964b6035bb0b62,InList0016Entry,1,0.398871
69f931fb495279250b70b45a70964b6035bb0b62,InList0016Entry,2,0.426264
69f931fb495279250b70b45a70964b6035bb0b62,InList0016Entry,3,0.393874
69f931fb495279250b70b45a70964b6035bb0b62,InList0016Entry,4,0.405827
69f931fb495279250b70b45a70964b6035bb0b62,InList0032Entry,0,0.475364
69f931fb495279250b70b45a70964b6035bb0b62,InList0032Entry,1,0.441154
69f931fb495279250b70b45a70964b6035bb0b62,InList0032Entry,2,0.448388
69f931fb495279250b70b45a70964b6035bb0b62,InList0032Entry,3,0.428558
69f931fb495279250b70b45a70964b6035bb0b62,InList0032Entry,4,0.436344
69f931fb495279250b70b45a70964b6035bb0b62,InList0064Entry,0,0.530675
69f931fb495279250b70b45a70964b6035bb0b62,InList0064Entry,1,0.477065
69f931fb495279250b70b45a70964b6035bb0b62,InList0064Entry,2,0.482354
69f931fb495279250b70b45a70964b6035bb0b62,InList0064Entry,3,0.441021
69f931fb495279250b70b45a70964b6035bb0b62,InList0064Entry,4,0.467511
69f931fb495279250b70b45a70964b6035bb0b62,InList0128Entry,0,0.575719
69f931fb495279250b70b45a70964b6035bb0b62,InList0128Entry,1,0.481293
69f931fb495279250b70b45a70964b6035bb0b62,InList0128Entry,2,0.561171
69f931fb495279250b70b45a70964b6035bb0b62,InList0128Entry,3,0.48134
69f931fb495279250b70b45a70964b6035bb0b62,InList0128Entry,4,0.503055
69f931fb495279250b70b45a70964b6035bb0b62,InList0256Entry,0,0.582415
69f931fb495279250b70b45a70964b6035bb0b62,InList0256Entry,1,0.49634
69f931fb495279250b70b45a70964b6035bb0b62,InList0256Entry,2,0.583008
69f931fb495279250b70b45a70964b6035bb0b62,InList0256Entry,3,0.502736
69f931fb495279250b70b45a70964b6035bb0b62,InList0256Entry,4,0.485403
69f931fb495279250b70b45a70964b6035bb0b62,InList0512Entry,0,0.604367
69f931fb495279250b70b45a70964b6035bb0b62,InList0512Entry,1,0.51215
69f931fb495279250b70b45a70964b6035bb0b62,InList0512Entry,2,0.621178
69f931fb495279250b70b45a70964b6035bb0b62,InList0512Entry,3,0.517638
69f931fb495279250b70b45a70964b6035bb0b62,InList0512Entry,4,0.517954
69f931fb495279250b70b45a70964b6035bb0b62,InList1024Entry,0,0.623902
69f931fb495279250b70b45a70964b6035bb0b62,InList1024Entry,1,0.541353
69f931fb495279250b70b45a70964b6035bb0b62,InList1024Entry,2,0.629447
69f931fb495279250b70b45a70964b6035bb0b62,InList1024Entry,3,0.518118
69f931fb495279250b70b45a70964b6035bb0b62,InList1024Entry,4,0.501288
69f931fb495279250b70b45a70964b6035bb0b62,InList2048Entry,0,0.607612
69f931fb495279250b70b45a70964b6035bb0b62,InList2048Entry,1,0.533901
69f931fb495279250b70b45a70964b6035bb0b62,InList2048Entry,2,0.638555
69f931fb495279250b70b45a70964b6035bb0b62,InList2048Entry,3,0.510179
69f931fb495279250b70b45a70964b6035bb0b62,InList2048Entry,4,0.500513
69f931fb495279250b70b45a70964b6035bb0b62,Multiplication,0,0.099488
69f931fb495279250b70b45a70964b6035bb0b62,Multiplication,1,0.09463
69f931fb495279250b70b45a70964b6035bb0b62,Multiplication,2,0.099677
69f931fb495279250b70b45a70964b6035bb0b62,Multiplication,3,0.096489
69f931fb495279250b70b45a70964b6035bb0b62,Multiplication,4,0.096249
69f931fb495279250b70b45a70964b6035bb0b62,OrderBySingleColumn,0,0.038276
69f931fb495279250b70b45a70964b6035bb0b62,OrderBySingleColumn,1,0.038626
69f931fb495279250b70b45a70964b6035bb0b62,OrderBySingleColumn,2,0.038355
69f931fb495279250b70b45a70964b6035bb0b62,OrderBySingleColumn,3,0.038566
69f931fb495279250b70b45a70964b6035bb0b62,OrderBySingleColumn,4,0.038356
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithoutIndex,0,0.262917
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithoutIndex,1,0.261569
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithoutIndex,2,0.257905
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithoutIndex,3,0.262266
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithoutIndex,4,0.257115
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithIndexART,0,0.000182
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithIndexART,1,0.000127
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithIndexART,2,0.000257
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithIndexART,3,0.000175
69f931fb495279250b70b45a70964b6035bb0b62,PointQueryWithIndexART,4,0.000114
