revision,benchmark,nrun,time
6b09e5db695b88ea353253a2126df27db5343067,SimpleAggregate,0,0.019039
6b09e5db695b88ea353253a2126df27db5343067,SimpleAggregate,1,0.017068
6b09e5db695b88ea353253a2126df27db5343067,SimpleAggregate,2,0.017006
6b09e5db695b88ea353253a2126df27db5343067,SimpleAggregate,3,0.016788
6b09e5db695b88ea353253a2126df27db5343067,SimpleAggregate,4,0.017037
6b09e5db695b88ea353253a2126df27db5343067,SimpleGroupByAggregate,0,0.129272
6b09e5db695b88ea353253a2126df27db5343067,SimpleGroupByAggregate,1,0.129757
6b09e5db695b88ea353253a2126df27db5343067,SimpleGroupByAggregate,2,0.129637
6b09e5db695b88ea353253a2126df27db5343067,SimpleGroupByAggregate,3,0.129143
6b09e5db695b88ea353253a2126df27db5343067,SimpleGroupByAggregate,4,0.129964
6b09e5db695b88ea353253a2126df27db5343067,InList0001Entry,0,0.054031
6b09e5db695b88ea353253a2126df27db5343067,InList0001Entry,1,0.056431
6b09e5db695b88ea353253a2126df27db5343067,InList0001Entry,2,0.05549
6b09e5db695b88ea353253a2126df27db5343067,InList0001Entry,3,0.053812
6b09e5db695b88ea353253a2126df27db5343067,InList0001Entry,4,0.054097
6b09e5db695b88ea353253a2126df27db5343067,InList0002Entry,0,0.102123
6b09e5db695b88ea353253a2126df27db5343067,InList0002Entry,1,0.106887
6b09e5db695b88ea353253a2126df27db5343067,InList0002Entry,2,0.101632
6b09e5db695b88ea353253a2126df27db5343067,InList0002Entry,3,0.116766
6b09e5db695b88ea353253a2126df27db5343067,InList0002Entry,4,0.100723
6b09e5db695b88ea353253a2126df27db5343067,InList0004Entry,0,0.191809
6b09e5db695b88ea353253a2126df27db5343067,InList0004Entry,1,0.215494
6b09e5db695b88ea353253a2126df27db5343067,InList0004Entry,2,0.188909
6b09e5db695b88ea353253a2126df27db5343067,InList0004Entry,3,0.189816
6b09e5db695b88ea353253a2126df27db5343067,InList0004Entry,4,0.191325
6b09e5db695b88ea353253a2126df27db5343067,InList0008Entry,0,0.363689
6b09e5db695b88ea353253a2126df27db5343067,InList0008Entry,1,0.389442
6b09e5db695b88ea353253a2126df27db5343067,InList0008Entry,2,0.394364
6b09e5db695b88ea353253a2126df27db5343067,InList0008Entry,3,0.391072
6b09e5db695b88ea353253a2126df27db5343067,InList0008Entry,4,0.380551
6b09e5db695b88ea353253a2126df27db5343067,InList0016Entry,0,0.447024
6b09e5db695b88ea353253a2126df27db5343067,InList0016Entry,1,0.398871
6b09e5db695b88ea353253a2126df27db5343067,InList0016Entry,2,0.426264
6b09e5db695b88ea353253a2126df27db5343067,InList0016Entry,3,0.393874
6b09e5db695b88ea353253a2126df27db5343067,InList0016Entry,4,0.405827
6b09e5db695b88ea353253a2126df27db5343067,InList0032Entry,0,0.475364
6b09e5db695b88ea353253a2126df27db5343067,InList0032Entry,1,0.441154
6b09e5db695b88ea353253a2126df27db5343067,InList0032Entry,2,0.448388
6b09e5db695b88ea353253a2126df27db5343067,InList0032Entry,3,0.428558
6b09e5db695b88ea353253a2126df27db5343067,InList0032Entry,4,0.436344
6b09e5db695b88ea353253a2126df27db5343067,InList0064Entry,0,0.530675
6b09e5db695b88ea353253a2126df27db5343067,InList0064Entry,1,0.477065
6b09e5db695b88ea353253a2126df27db5343067,InList0064Entry,2,0.482354
6b09e5db695b88ea353253a2126df27db5343067,InList0064Entry,3,0.441021
6b09e5db695b88ea353253a2126df27db5343067,InList0064Entry,4,0.467511
6b09e5db695b88ea353253a2126df27db5343067,InList0128Entry,0,0.575719
6b09e5db695b88ea353253a2126df27db5343067,InList0128Entry,1,0.481293
6b09e5db695b88ea353253a2126df27db5343067,InList0128Entry,2,0.561171
6b09e5db695b88ea353253a2126df27db5343067,InList0128Entry,3,0.48134
6b09e5db695b88ea353253a2126df27db5343067,InList0128Entry,4,0.503055
6b09e5db695b88ea353253a2126df27db5343067,InList0256Entry,0,0.582415
6b09e5db695b88ea353253a2126df27db5343067,InList0256Entry,1,0.49634
6b09e5db695b88ea353253a2126df27db5343067,InList0256Entry,2,0.583008
6b09e5db695b88ea353253a2126df27db5343067,InList0256Entry,3,0.502736
6b09e5db695b88ea353253a2126df27db5343067,InList0256Entry,4,0.485403
6b09e5db695b88ea353253a2126df27db5343067,InList0512Entry,0,0.604367
6b09e5db695b88ea353253a2126df27db5343067,InList0512Entry,1,0.51215
6b09e5db695b88ea353253a2126df27db5343067,InList0512Entry,2,0.621178
6b09e5db695b88ea353253a2126df27db5343067,InList0512Entry,3,0.517638
6b09e5db695b88ea353253a2126df27db5343067,InList0512Entry,4,0.517954
6b09e5db695b88ea353253a2126df27db5343067,InList1024Entry,0,0.623902
6b09e5db695b88ea353253a2126df27db5343067,InList1024Entry,1,0.541353
6b09e5db695b88ea353253a2126df27db5343067,InList1024Entry,2,0.629447
6b09e5db695b88ea353253a2126df27db5343067,InList1024Entry,3,0.518118
6b09e5db695b88ea353253a2126df27db5343067,InList1024Entry,4,0.501288
6b09e5db695b88ea353253a2126df27db5343067,InList2048Entry,0,0.607612
6b09e5db695b88ea353253a2126df27db5343067,InList2048Entry,1,0.533901
6b09e5db695b88ea353253a2126df27db5343067,InList2048Entry,2,0.638555
