revision,benchmark,nrun,time
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleAggregate,0,0.019039
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleAggregate,1,0.017068
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleAggregate,2,0.017006
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleAggregate,3,0.016788
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleAggregate,4,0.017037
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleGroupByAggregate,0,0.129272
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleGroupByAggregate,1,0.129757
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleGroupByAggregate,2,0.129637
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleGroupByAggregate,3,0.129143
6f21c2a23a46dc339d62debc7b232cc9527f49df,SimpleGroupByAggregate,4,0.129964
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0001Entry,0,0.054031
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0001Entry,1,0.056431
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0001Entry,2,0.05549
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0001Entry,3,0.053812
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0001Entry,4,0.054097
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0002Entry,0,0.102123
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0002Entry,1,0.106887
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0002Entry,2,0.101632
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0002Entry,3,0.116766
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0002Entry,4,0.100723
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0004Entry,0,0.191809
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0004Entry,1,0.215494
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0004Entry,2,0.188909
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0004Entry,3,0.189816
6f21c2a23a46dc339d62debc7b232cc9527f49df,InList0004Entry,4,0.191325
