revision,benchmark,nrun,time
7259cabfdc42d8dd722826004d387652dff081f0,SimpleAggregate,0,0.019039
7259cabfdc42d8dd722826004d387652dff081f0,SimpleAggregate,1,0.017068
7259cabfdc42d8dd722826004d387652dff081f0,SimpleAggregate,2,0.017006
7259cabfdc42d8dd722826004d387652dff081f0,SimpleAggregate,3,0.016788
7259cabfdc42d8dd722826004d387652dff081f0,SimpleAggregate,4,0.017037
7259cabfdc42d8dd722826004d387652dff081f0,SimpleGroupByAggregate,0,0.129272
7259cabfdc42d8dd722826004d387652dff081f0,SimpleGroupByAggregate,1,0.129757
7259cabfdc42d8dd722826004d387652dff081f0,SimpleGroupByAggregate,2,0.129637
7259cabfdc42d8dd722826004d387652dff081f0,SimpleGroupByAggregate,3,0.129143
7259cabfdc42d8dd722826004d387652dff081f0,SimpleGroupByAggregate,4,0.129964
7259cabfdc42d8dd722826004d387652dff081f0,InList0001Entry,0,0.054031
7259cabfdc42d8dd722826004d387652dff081f0,InList0001Entry,1,0.056431
7259cabfdc42d8dd722826004d387652dff081f0,InList0001Entry,2,0.05549
7259cabfdc42d8dd722826004d387652dff081f0,InList0001Entry,3,0.053812
7259cabfdc42d8dd722826004d387652dff081f0,InList0001Entry,4,0.054097
7259cabfdc42d8dd722826004d387652dff081f0,InList0002Entry,0,0.102123
7259cabfdc42d8dd722826004d387652dff081f0,InList0002Entry,1,0.106887
7259cabfdc42d8dd722826004d387652dff081f0,InList0002Entry,2,0.101632
7259cabfdc42d8dd722826004d387652dff081f0,InList0002Entry,3,0.116766
7259cabfdc42d8dd722826004d387652dff081f0,InList0002Entry,4,0.100723
7259cabfdc42d8dd722826004d387652dff081f0,InList0004Entry,0,0.191809
7259cabfdc42d8dd722826004d387652dff081f0,InList0004Entry,1,0.215494
7259cabfdc42d8dd722826004d387652dff081f0,InList0004Entry,2,0.188909
7259cabfdc42d8dd722826004d387652dff081f0,InList0004Entry,3,0.189816
7259cabfdc42d8dd722826004d387652dff081f0,InList0004Entry,4,0.191325
7259cabfdc42d8dd722826004d387652dff081f0,InList0008Entry,0,0.363689
7259cabfdc42d8dd722826004d387652dff081f0,InList0008Entry,1,0.389442
7259cabfdc42d8dd722826004d387652dff081f0,InList0008Entry,2,0.394364
7259cabfdc42d8dd722826004d387652dff081f0,InList0008Entry,3,0.391072
7259cabfdc42d8dd722826004d387652dff081f0,InList0008Entry,4,0.380551
7259cabfdc42d8dd722826004d387652dff081f0,InList0016Entry,0,0.447024
7259cabfdc42d8dd722826004d387652dff081f0,InList0016Entry,1,0.398871
7259cabfdc42d8dd722826004d387652dff081f0,InList0016Entry,2,0.426264
7259cabfdc42d8dd722826004d387652dff081f0,InList0016Entry,3,0.393874
7259cabfdc42d8dd722826004d387652dff081f0,InList0016Entry,4,0.405827
7259cabfdc42d8dd722826004d387652dff081f0,InList0032Entry,0,0.475364
7259cabfdc42d8dd722826004d387652dff081f0,InList0032Entry,1,0.441154
7259cabfdc42d8dd722826004d387652dff081f0,InList0032Entry,2,0.448388
7259cabfdc42d8dd722826004d387652dff081f0,InList0032Entry,3,0.428558
7259cabfdc42d8dd722826004d387652dff081f0,InList0032Entry,4,0.436344
7259cabfdc42d8dd722826004d387652dff081f0,InList0064Entry,0,0.530675
7259cabfdc42d8dd722826004d387652dff081f0,InList0064Entry,1,0.477065
7259cabfdc42d8dd722826004d387652dff081f0,InList0064Entry,2,0.482354
7259cabfdc42d8dd722826004d387652dff081f0,InList0064Entry,3,0.441021
7259cabfdc42d8dd722826004d387652dff081f0,InList0064Entry,4,0.467511
7259cabfdc42d8dd722826004d387652dff081f0,InList0128Entry,0,0.575719
7259cabfdc42d8dd722826004d387652dff081f0,InList0128Entry,1,0.481293
7259cabfdc42d8dd722826004d387652dff081f0,InList0128Entry,2,0.561171
7259cabfdc42d8dd722826004d387652dff081f0,InList0128Entry,3,0.48134
7259cabfdc42d8dd722826004d387652dff081f0,InList0128Entry,4,0.503055
7259cabfdc42d8dd722826004d387652dff081f0,InList0256Entry,0,0.582415
7259cabfdc42d8dd722826004d387652dff081f0,InList0256Entry,1,0.49634
7259cabfdc42d8dd722826004d387652dff081f0,InList0256Entry,2,0.583008
7259cabfdc42d8dd722826004d387652dff081f0,InList0256Entry,3,0.502736
