revision,benchmark,nrun,time
9065d25490a824b6254a3573199469a349ead6ab,SimpleAggregate,0,0.019039
9065d25490a824b6254a3573199469a349ead6ab,SimpleAggregate,1,0.017068
9065d25490a824b6254a3573199469a349ead6ab,SimpleAggregate,2,0.017006
9065d25490a824b6254a3573199469a349ead6ab,SimpleAggregate,3,0.016788
9065d25490a824b6254a3573199469a349ead6ab,SimpleAggregate,4,0.017037
9065d25490a824b6254a3573199469a349ead6ab,SimpleGroupByAggregate,0,0.129272
9065d25490a824b6254a3573199469a349ead6ab,SimpleGroupByAggregate,1,0.129757
9065d25490a824b6254a3573199469a349ead6ab,SimpleGroupByAggregate,2,0.129637
9065d25490a824b6254a3573199469a349ead6ab,SimpleGroupByAggregate,3,0.129143
9065d25490a824b6254a3573199469a349ead6ab,SimpleGroupByAggregate,4,0.129964
9065d25490a824b6254a3573199469a349ead6ab,InList0001Entry,0,0.054031
9065d25490a824b6254a3573199469a349ead6ab,InList0001Entry,1,0.056431
9065d25490a824b6254a3573199469a349ead6ab,InList0001Entry,2,0.05549
9065d25490a824b6254a3573199469a349ead6ab,InList0001Entry,3,0.053812
9065d25490a824b6254a3573199469a349ead6ab,InList0001Entry,4,0.054097
9065d25490a824b6254a3573199469a349ead6ab,InList0002Entry,0,0.102123
9065d25490a824b6254a3573199469a349ead6ab,InList0002Entry,1,0.106887
9065d25490a824b6254a3573199469a349ead6ab,InList0002Entry,2,0.101632
9065d25490a824b6254a3573199469a349ead6ab,InList0002Entry,3,0.116766
9065d25490a824b6254a3573199469a349ead6ab,InList0002Entry,4,0.100723
9065d25490a824b6254a3573199469a349ead6ab,InList0004Entry,0,0.191809
9065d25490a824b6254a3573199469a349ead6ab,InList0004Entry,1,0.215494
9065d25490a824b6254a3573199469a349ead6ab,InList0004Entry,2,0.188909
9065d25490a824b6254a3573199469a349ead6ab,InList0004Entry,3,0.189816
9065d25490a824b6254a3573199469a349ead6ab,InList0004Entry,4,0.191325
9065d25490a824b6254a3573199469a349ead6ab,InList0008Entry,0,0.363689
9065d25490a824b6254a3573199469a349ead6ab,InList0008Entry,1,0.389442
9065d25490a824b6254a3573199469a349ead6ab,InList0008Entry,2,0.394364
9065d25490a824b6254a3573199469a349ead6ab,InList0008Entry,3,0.391072
9065d25490a824b6254a3573199469a349ead6ab,InList0008Entry,4,0.380551
9065d25490a824b6254a3573199469a349ead6ab,InList0016Entry,0,0.447024
9065d25490a824b6254a3573199469a349ead6ab,InList0016Entry,1,0.398871
9065d25490a824b6254a3573199469a349ead6ab,InList0016Entry,2,0.426264
9065d25490a824b6254a3573199469a349ead6ab,InList0016Entry,3,0.393874
9065d25490a824b6254a3573199469a349ead6ab,InList0016Entry,4,0.405827
9065d25490a824b6254a3573199469a349ead6ab,InList0032Entry,0,0.475364
9065d25490a824b6254a3573199469a349ead6ab,InList0032Entry,1,0.441154
9065d25490a824b6254a3573199469a349ead6ab,InList0032Entry,2,0.448388
9065d25490a824b6254a3573199469a349ead6ab,InList0032Entry,3,0.428558
9065d25490a824b6254a3573199469a349ead6ab,InList0032Entry,4,0.436344
9065d25490a824b6254a3573199469a349ead6ab,InList0064Entry,0,0.530675
9065d25490a824b6254a3573199469a349ead6ab,InList0064Entry,1,0.477065
9065d25490a824b6254a3573199469a349ead6ab,InList0064Entry,2,0.482354
9065d25490a824b6254a3573199469a349ead6ab,InList0064Entry,3,0.441021
9065d25490a824b6254a3573199469a349ead6ab,InList0064Entry,4,0.467511
9065d25490a824b6254a3573199469a349ead6ab,InList0128Entry,0,0.575719
9065d25490a824b6254a3573199469a349ead6ab,InList0128Entry,1,0.481293
9065d25490a824b6254a3573199469a349ead6ab,InList0128Entry,2,0.561171
9065d25490a824b6254a3573199469a349ead6ab,InList0128Entry,3,0.48134
9065d25490a824b6254a3573199469a349ead6ab,InList0128Entry,4,0.503055
9065d25490a824b6254a3573199469a349ead6ab,InList0256Entry,0,0.582415
9065d25490a824b6254a3573199469a349ead6ab,InList0256Entry,1,0.49634
9065d25490a824b6254a3573199469a349ead6ab,InList0256Entry,2,0.583008
9065d25490a824b6254a3573199469a349ead6ab,InList0256Entry,3,0.502736
9065d25490a824b6254a3573199469a349ead6ab,InList0256Entry,4,0.485403
9065d25490a824b6254a3573199469a349ead6ab,InList0512Entry,0,0.604367
9065d25490a824b6254a3573199469a349ead6ab,InList0512Entry,1,0.51215
