revision,benchmark,nrun,time
90818d98ebea87b14ed61871236d6390c4354b46,SimpleAggregate,0,0.019039
90818d98ebea87b14ed61871236d6390c4354b46,SimpleAggregate,1,0.017068
90818d98ebea87b14ed61871236d6390c4354b46,SimpleAggregate,2,0.017006
90818d98ebea87b14ed61871236d6390c4354b46,SimpleAggregate,3,0.016788
90818d98ebea87b14ed61871236d6390c4354b46,SimpleAggregate,4,0.017037
90818d98ebea87b14ed61871236d6390c4354b46,SimpleGroupByAggregate,0,0.129272
90818d98ebea87b14ed61871236d6390c4354b46,SimpleGroupByAggregate,1,0.129757
90818d98ebea87b14ed61871236d6390c4354b46,SimpleGroupByAggregate,2,0.129637
90818d98ebea87b14ed61871236d6390c4354b46,SimpleGroupByAggregate,3,0.129143
90818d98ebea87b14ed61871236d6390c4354b46,SimpleGroupByAggregate,4,0.129964
90818d98ebea87b14ed61871236d6390c4354b46,InList0001Entry,0,0.054031
90818d98ebea87b14ed61871236d6390c4354b46,InList0001Entry,1,0.056431
90818d98ebea87b14ed61871236d6390c4354b46,InList0001Entry,2,0.05549
90818d98ebea87b14ed61871236d6390c4354b46,InList0001Entry,3,0.053812
90818d98ebea87b14ed61871236d6390c4354b46,InList0001Entry,4,0.054097
90818d98ebea87b14ed61871236d6390c4354b46,InList0002Entry,0,0.102123
90818d98ebea87b14ed61871236d6390c4354b46,InList0002Entry,1,0.106887
90818d98ebea87b14ed61871236d6390c4354b46,InList0002Entry,2,0.101632
90818d98ebea87b14ed61871236d6390c4354b46,InList0002Entry,3,0.116766
90818d98ebea87b14ed61871236d6390c4354b46,InList0002Entry,4,0.100723
90818d98ebea87b14ed61871236d6390c4354b46,InList0004Entry,0,0.191809
90818d98ebea87b14ed61871236d6390c4354b46,InList0004Entry,1,0.215494
90818d98ebea87b14ed61871236d6390c4354b46,InList0004Entry,2,0.188909
90818d98ebea87b14ed61871236d6390c4354b46,InList0004Entry,3,0.189816
90818d98ebea87b14ed61871236d6390c4354b46,InList0004Entry,4,0.191325
90818d98ebea87b14ed61871236d6390c4354b46,InList0008Entry,0,0.363689
90818d98ebea87b14ed61871236d6390c4354b46,InList0008Entry,1,0.389442
90818d98ebea87b14ed61871236d6390c4354b46,InList0008Entry,2,0.394364
90818d98ebea87b14ed61871236d6390c4354b46,InList0008Entry,3,0.391072
90818d98ebea87b14ed61871236d6390c4354b46,InList0008Entry,4,0.380551
90818d98ebea87b14ed61871236d6390c4354b46,InList0016Entry,0,0.447024
90818d98ebea87b14ed61871236d6390c4354b46,InList0016Entry,1,0.398871
90818d98ebea87b14ed61871236d6390c4354b46,InList0016Entry,2,0.426264
90818d98ebea87b14ed61871236d6390c4354b46,InList0016Entry,3,0.393874
90818d98ebea87b14ed61871236d6390c4354b46,InList0016Entry,4,0.405827
90818d98ebea87b14ed61871236d6390c4354b46,InList0032Entry,0,0.475364
90818d98ebea87b14ed61871236d6390c4354b46,InList0032Entry,1,0.441154
90818d98ebea87b14ed61871236d6390c4354b46,InList0032Entry,2,0.448388
90818d98ebea87b14ed61871236d6390c4354b46,InList0032Entry,3,0.428558
90818d98ebea87b14ed61871236d6390c4354b46,InList0032Entry,4,0.436344
90818d98ebea87b14ed61871236d6390c4354b46,InList0064Entry,0,0.530675
90818d98ebea87b14ed61871236d6390c4354b46,InList0064Entry,1,0.477065
90818d98ebea87b14ed61871236d6390c4354b46,InList0064Entry,2,0.482354
90818d98ebea87b14ed61871236d6390c4354b46,InList0064Entry,3,0.441021
90818d98ebea87b14ed61871236d6390c4354b46,InList0064Entry,4,0.467511
90818d98ebea87b14ed61871236d6390c4354b46,InList0128Entry,0,0.575719
90818d98ebea87b14ed61871236d6390c4354b46,InList0128Entry,1,0.481293
90818d98ebea87b14ed61871236d6390c4354b46,InList0128Entry,2,0.561171
90818d98ebea87b14ed61871236d6390c4354b46,InList0128Entry,3,0.48134
90818d98ebea87b14ed61871236d6390c4354b46,InList0128Entry,4,0.503055
90818d98ebea87b14ed61871236d6390c4354b46,InList0256Entry,0,0.582415
90818d98ebea87b14ed61871236d6390c4354b46,InList0256Entry,1,0.49634
90818d98ebea87b14ed61871236d6390c4354b46,InList0256Entry,2,0.583008
90818d98ebea87b14ed61871236d6390c4354b46,InList0256Entry,3,0.502736
90818d98ebea87b14ed61871236d6390c4354b46,InList0256Entry,4,0.485403
90818d98ebea87b14ed61871236d6390c4354b46,InList0512Entry,0,0.604367
90818d98ebea87b14ed61871236d6390c4354b46,InList0512Entry,1,0.51215
90818d98ebea87b14ed61871236d6390c4354b46,InList0512Entry,2,0.621178
90818d98ebea87b14ed61871236d6390c4354b46,InList0512Entry,3,0.517638
90818d98ebea87b14ed61871236d6390c4354b46,InList0512Entry,4,0.517954
90818d98ebea87b14ed61871236d6390c4354b46,InList1024Entry,0,0.623902
90818d98ebea87b14ed61871236d6390c4354b46,InList1024Entry,1,0.541353
90818d98ebea87b14ed61871236d6390c4354b46,InList1024Entry,2,0.629447
90818d98ebea87b14ed61871236d6390c4354b46,InList1024Entry,3,0.518118
90818d98ebea87b14ed61871236d6390c4354b46,InList1024Entry,4,0.501288
90818d98ebea87b14ed61871236d6390c4354b46,InList2048Entry,0,0.607612
90818d98ebea87b14ed61871236d6390c4354b46,InList2048Entry,1,0.533901
90818d98ebea87b14ed61871236d6390c4354b46,InList2048Entry,2,0.638555
90818d98ebea87b14ed61871236d6390c4354b46,InList2048Entry,3,0.510179
90818d98ebea87b14ed61871236d6390c4354b46,InList2048Entry,4,0.500513
90818d98ebea87b14ed61871236d6390c4354b46,Multiplication,0,0.099488
90818d98ebea87b14ed61871236d6390c4354b46,Multiplication,1,0.09463
90818d98ebea87b14ed61871236d6390c4354b46,Multiplication,2,0.099677
90818d98ebea87b14ed61871236d6390c4354b46,Multiplication,3,0.096489
90818d98ebea87b14ed61871236d6390c4354b46,Multiplication,4,0.096249
90818d98ebea87b14ed61871236d6390c4354b46,OrderBySingleColumn,0,0.038276
90818d98ebea87b14ed61871236d6390c4354b46,OrderBySingleColumn,1,0.038626
90818d98ebea87b14ed61871236d6390c4354b46,OrderBySingleColumn,2,0.038355
90818d98ebea87b14ed61871236d6390c4354b46,OrderBySingleColumn,3,0.038566
90818d98ebea87b14ed61871236d6390c4354b46,OrderBySingleColumn,4,0.038356
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithoutIndex,0,0.262917
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithoutIndex,1,0.261569
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithoutIndex,2,0.257905
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithoutIndex,3,0.262266
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithoutIndex,4,0.257115
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithIndexART,0,0.000182
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithIndexART,1,0.000127
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithIndexART,2,0.000257
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithIndexART,3,0.000175
90818d98ebea87b14ed61871236d6390c4354b46,PointQueryWithIndexART,4,0.000114
