revision,benchmark,nrun,time
958295e2af6ab52b09944c93732714b23f74bad5,SimpleAggregate,0,0.019039
958295e2af6ab52b09944c93732714b23f74bad5,SimpleAggregate,1,0.017068
958295e2af6ab52b09944c93732714b23f74bad5,SimpleAggregate,2,0.017006
958295e2af6ab52b09944c93732714b23f74bad5,SimpleAggregate,3,0.016788
958295e2af6ab52b09944c93732714b23f74bad5,SimpleAggregate,4,0.017037
958295e2af6ab52b09944c93732714b23f74bad5,SimpleGroupByAggregate,0,0.129272
958295e2af6ab52b09944c93732714b23f74bad5,SimpleGroupByAggregate,1,0.129757
958295e2af6ab52b09944c93732714b23f74bad5,SimpleGroupByAggregate,2,0.129637
958295e2af6ab52b09944c93732714b23f74bad5,SimpleGroupByAggregate,3,0.129143
958295e2af6ab52b09944c93732714b23f74bad5,SimpleGroupByAggregate,4,0.129964
958295e2af6ab52b09944c93732714b23f74bad5,InList0001Entry,0,0.054031
958295e2af6ab52b09944c93732714b23f74bad5,InList0001Entry,1,0.056431
958295e2af6ab52b09944c93732714b23f74bad5,InList0001Entry,2,0.05549
958295e2af6ab52b09944c93732714b23f74bad5,InList0001Entry,3,0.053812
958295e2af6ab52b09944c93732714b23f74bad5,InList0001Entry,4,0.054097
958295e2af6ab52b09944c93732714b23f74bad5,InList0002Entry,0,0.102123
958295e2af6ab52b09944c93732714b23f74bad5,InList0002Entry,1,0.106887
958295e2af6ab52b09944c93732714b23f74bad5,InList0002Entry,2,0.101632
958295e2af6ab52b09944c93732714b23f74bad5,InList0002Entry,3,0.116766
958295e2af6ab52b09944c93732714b23f74bad5,InList0002Entry,4,0.100723
958295e2af6ab52b09944c93732714b23f74bad5,InList0004Entry,0,0.191809
958295e2af6ab52b09944c93732714b23f74bad5,InList0004Entry,1,0.215494
958295e2af6ab52b09944c93732714b23f74bad5,InList0004Entry,2,0.188909
958295e2af6ab52b09944c93732714b23f74bad5,InList0004Entry,3,0.189816
958295e2af6ab52b09944c93732714b23f74bad5,InList0004Entry,4,0.191325
958295e2af6ab52b09944c93732714b23f74bad5,InList0008Entry,0,0.363689
958295e2af6ab52b09944c93732714b23f74bad5,InList0008Entry,1,0.389442
958295e2af6ab52b09944c93732714b23f74bad5,InList0008Entry,2,0.394364
958295e2af6ab52b09944c93732714b23f74bad5,InList0008Entry,3,0.391072
958295e2af6ab52b09944c93732714b23f74bad5,InList0008Entry,4,0.380551
958295e2af6ab52b09944c93732714b23f74bad5,InList0016Entry,0,0.447024
958295e2af6ab52b09944c93732714b23f74bad5,InList0016Entry,1,0.398871
958295e2af6ab52b09944c93732714b23f74bad5,InList0016Entry,2,0.426264
958295e2af6ab52b09944c93732714b23f74bad5,InList0016Entry,3,0.393874
958295e2af6ab52b09944c93732714b23f74bad5,InList0016Entry,4,0.405827
958295e2af6ab52b09944c93732714b23f74bad5,InList0032Entry,0,0.475364
958295e2af6ab52b09944c93732714b23f74bad5,InList0032Entry,1,0.441154
958295e2af6ab52b09944c93732714b23f74bad5,InList0032Entry,2,0.448388
958295e2af6ab52b09944c93732714b23f74bad5,InList0032Entry,3,0.428558
958295e2af6ab52b09944c93732714b23f74bad5,InList0032Entry,4,0.436344
958295e2af6ab52b09944c93732714b23f74bad5,InList0064Entry,0,0.530675
958295e2af6ab52b09944c93732714b23f74bad5,InList0064Entry,1,0.477065
958295e2af6ab52b09944c93732714b23f74bad5,InList0064Entry,2,0.482354
958295e2af6ab52b09944c93732714b23f74bad5,InList0064Entry,3,0.441021
958295e2af6ab52b09944c93732714b23f74bad5,InList0064Entry,4,0.467511
958295e2af6ab52b09944c93732714b23f74bad5,InList0128Entry,0,0.575719
958295e2af6ab52b09944c93732714b23f74bad5,InList0128Entry,1,0.481293
958295e2af6ab52b09944c93732714b23f74bad5,InList0128Entry,2,0.561171
958295e2af6ab52b09944c93732714b23f74bad5,InList0128Entry,3,0.48134
958295e2af6ab52b09944c93732714b23f74bad5,InList0128Entry,4,0.503055
958295e2af6ab52b09944c93732714b23f74bad5,InList0256Entry,0,0.582415
958295e2af6ab52b09944c93732714b23f74bad5,InList0256Entry,1,0.49634
958295e2af6ab52b09944c93732714b23f74bad5,InList0256Entry,2,0.583008
958295e2af6ab52b09944c93732714b23f74bad5,InList0256Entry,3,0.502736
958295e2af6ab52b09944c93732714b23f74bad5,InList0256Entry,4,0.485403
958295e2af6ab52b09944c93732714b23f74bad5,InList0512Entry,0,0.604367
958295e2af6ab52b09944c93732714b23f74bad5,InList0512Entry,1,0.51215
958295e2af6ab52b09944c93732714b23f74bad5,InList0512Entry,2,0.621178
958295e2af6ab52b09944c93732714b23f74bad5,InList0512Entry,3,0.517638
958295e2af6ab52b09944c93732714b23f74bad5,InList0512Entry,4,0.517954
958295e2af6ab52b09944c93732714b23f74bad5,InList1024Entry,0,0.623902
958295e2af6ab52b09944c93732714b23f74bad5,InList1024Entry,1,0.541353
958295e2af6ab52b09944c93732714b23f74bad5,InList1024Entry,2,0.629447
958295e2af6ab52b09944c93732714b23f74bad5,InList1024Entry,3,0.518118
958295e2af6ab52b09944c93732714b23f74bad5,InList1024Entry,4,0.501288
958295e2af6ab52b09944c93732714b23f74bad5,InList2048Entry,0,0.607612
958295e2af6ab52b09944c93732714b23f74bad5,InList2048Entry,1,0.533901
958295e2af6ab52b09944c93732714b23f74bad5,InList2048Entry,2,0.638555
958295e2af6ab52b09944c93732714b23f74bad5,InList2048Entry,3,0.510179
958295e2af6ab52b09944c93732714b23f74bad5,InList2048Entry,4,0.500513
958295e2af6ab52b09944c93732714b23f74bad5,Multiplication,0,0.099488
958295e2af6ab52b09944c93732714b23f74bad5,Multiplication,1,0.09463
958295e2af6ab52b09944c93732714b23f74bad5,Multiplication,2,0.099677
958295e2af6ab52b09944c93732714b23f74bad5,Multiplication,3,0.096489
958295e2af6ab52b09944c93732714b23f74bad5,Multiplication,4,0.096249
958295e2af6ab52b09944c93732714b23f74bad5,OrderBySingleColumn,0,0.038276
958295e2af6ab52b09944c93732714b23f74bad5,OrderBySingleColumn,1,0.038626
958295e2af6ab52b09944c93732714b23f74bad5,OrderBySingleColumn,2,0.038355
958295e2af6ab52b09944c93732714b23f74bad5,OrderBySingleColumn,3,0.038566
958295e2af6ab52b09944c93732714b23f74bad5,OrderBySingleColumn,4,0.038356
958295e2af6ab52b09944c93732714b23f74bad5,PointQueryWithoutIndex,0,0.262917
958295e2af6ab52b09944c93732714b23f74bad5,PointQueryWithoutIndex,1,0.261569
958295e2af6ab52b09944c93732714b23f74bad5,PointQueryWithoutIndex,2,0.257905
958295e2af6ab52b09944c93732714b23f74bad5,PointQueryWithoutIndex,3,0.262266
958295e2af6ab52b09944c93732714b23f74bad5,PointQueryWithoutIndex,4,0.257115
958295e2af6ab52b09944c93732714b23f74bad5,PointQueryWithIndexART,0,0.000182
958295e2af6ab52b09944c93732714b23f74bad5,PointQueryWithIndexART,1,0.000127
958295e2af6ab52b09944c93732714b23f74bad5,PointQueryWithIndexART,2,0.000257
