revision,benchmark,nrun,time
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleAggregate,0,0.019039
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleAggregate,1,0.017068
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleAggregate,2,0.017006
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleAggregate,3,0.016788
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleAggregate,4,0.017037
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleGroupByAggregate,0,0.129272
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleGroupByAggregate,1,0.129757
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleGroupByAggregate,2,0.129637
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleGroupByAggregate,3,0.129143
967141c1ce4892c75dbbce55702cd128413c8d2f,SimpleGroupByAggregate,4,0.129964
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0001Entry,0,0.054031
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0001Entry,1,0.056431
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0001Entry,2,0.05549
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0001Entry,3,0.053812
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0001Entry,4,0.054097
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0002Entry,0,0.102123
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0002Entry,1,0.106887
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0002Entry,2,0.101632
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0002Entry,3,0.116766
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0002Entry,4,0.100723
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0004Entry,0,0.191809
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0004Entry,1,0.215494
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0004Entry,2,0.188909
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0004Entry,3,0.189816
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0004Entry,4,0.191325
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0008Entry,0,0.363689
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0008Entry,1,0.389442
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0008Entry,2,0.394364
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0008Entry,3,0.391072
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0008Entry,4,0.380551
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0016Entry,0,0.447024
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0016Entry,1,0.398871
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0016Entry,2,0.426264
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0016Entry,3,0.393874
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0016Entry,4,0.405827
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0032Entry,0,0.475364
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0032Entry,1,0.441154
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0032Entry,2,0.448388
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0032Entry,3,0.428558
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0032Entry,4,0.436344
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0064Entry,0,0.530675
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0064Entry,1,0.477065
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0064Entry,2,0.482354
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0064Entry,3,0.441021
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0064Entry,4,0.467511
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0128Entry,0,0.575719
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0128Entry,1,0.481293
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0128Entry,2,0.561171
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0128Entry,3,0.48134
967141c1ce4892c75dbbce55702cd128413c8d2f,InList0128Entry,4,0.503055
