revision,benchmark,nrun,time
968970599c9577894503c904df58da4bfbbe46a5,SimpleAggregate,0,0.019039
968970599c9577894503c904df58da4bfbbe46a5,SimpleAggregate,1,0.017068
968970599c9577894503c904df58da4bfbbe46a5,SimpleAggregate,2,0.017006
968970599c9577894503c904df58da4bfbbe46a5,SimpleAggregate,3,0.016788
968970599c9577894503c904df58da4bfbbe46a5,SimpleAggregate,4,0.017037
968970599c9577894503c904df58da4bfbbe46a5,SimpleGroupByAggregate,0,0.129272
968970599c9577894503c904df58da4bfbbe46a5,SimpleGroupByAggregate,1,0.129757
968970599c9577894503c904df58da4bfbbe46a5,SimpleGroupByAggregate,2,0.129637
968970599c9577894503c904df58da4bfbbe46a5,SimpleGroupByAggregate,3,0.129143
968970599c9577894503c904df58da4bfbbe46a5,SimpleGroupByAggregate,4,0.129964
968970599c9577894503c904df58da4bfbbe46a5,InList0001Entry,0,0.054031
968970599c9577894503c904df58da4bfbbe46a5,InList0001Entry,1,0.056431
968970599c9577894503c904df58da4bfbbe46a5,InList0001Entry,2,0.05549
968970599c9577894503c904df58da4bfbbe46a5,InList0001Entry,3,0.053812
968970599c9577894503c904df58da4bfbbe46a5,InList0001Entry,4,0.054097
968970599c9577894503c904df58da4bfbbe46a5,InList0002Entry,0,0.102123
968970599c9577894503c904df58da4bfbbe46a5,InList0002Entry,1,0.106887
968970599c9577894503c904df58da4bfbbe46a5,InList0002Entry,2,0.101632
968970599c9577894503c904df58da4bfbbe46a5,InList0002Entry,3,0.116766
968970599c9577894503c904df58da4bfbbe46a5,InList0002Entry,4,0.100723
968970599c9577894503c904df58da4bfbbe46a5,InList0004Entry,0,0.191809
968970599c9577894503c904df58da4bfbbe46a5,InList0004Entry,1,0.215494
968970599c9577894503c904df58da4bfbbe46a5,InList0004Entry,2,0.188909
968970599c9577894503c904df58da4bfbbe46a5,InList0004Entry,3,0.189816
968970599c9577894503c904df58da4bfbbe46a5,InList0004Entry,4,0.191325
