revision,benchmark,nrun,time
983a39fcda407216efa751679be3969ffaea8f10,SimpleAggregate,0,0.019039
983a39fcda407216efa751679be3969ffaea8f10,SimpleAggregate,1,0.017068
983a39fcda407216efa751679be3969ffaea8f10,SimpleAggregate,2,0.017006
983a39fcda407216efa751679be3969ffaea8f10,SimpleAggregate,3,0.016788
983a39fcda407216efa751679be3969ffaea8f10,SimpleAggregate,4,0.017037
983a39fcda407216efa751679be3969ffaea8f10,SimpleGroupByAggregate,0,0.129272
983a39fcda407216efa751679be3969ffaea8f10,SimpleGroupByAggregate,1,0.129757
983a39fcda407216efa751679be3969ffaea8f10,SimpleGroupByAggregate,2,0.129637
983a39fcda407216efa751679be3969ffaea8f10,SimpleGroupByAggregate,3,0.129143
983a39fcda407216efa751679be3969ffaea8f10,SimpleGroupByAggregate,4,0.129964
983a39fcda407216efa751679be3969ffaea8f10,InList0001Entry,0,0.054031
983a39fcda407216efa751679be3969ffaea8f10,InList0001Entry,1,0.056431
983a39fcda407216efa751679be3969ffaea8f10,InList0001Entry,2,0.05549
983a39fcda407216efa751679be3969ffaea8f10,InList0001Entry,3,0.053812
983a39fcda407216efa751679be3969ffaea8f10,InList0001Entry,4,0.054097
983a39fcda407216efa751679be3969ffaea8f10,InList0002Entry,0,0.102123
983a39fcda407216efa751679be3969ffaea8f10,InList0002Entry,1,0.106887
983a39fcda407216efa751679be3969ffaea8f10,InList0002Entry,2,0.101632
983a39fcda407216efa751679be3969ffaea8f10,InList0002Entry,3,0.116766
983a39fcda407216efa751679be3969ffaea8f10,InList0002Entry,4,0.100723
983a39fcda407216efa751679be3969ffaea8f10,InList0004Entry,0,0.191809
983a39fcda407216efa751679be3969ffaea8f10,InList0004Entry,1,0.215494
983a39fcda407216efa751679be3969ffaea8f10,InList0004Entry,2,0.188909
983a39fcda407216efa751679be3969ffaea8f10,InList0004Entry,3,0.189816
983a39fcda407216efa751679be3969ffaea8f10,InList0004Entry,4,0.191325
983a39fcda407216efa751679be3969ffaea8f10,InList0008Entry,0,0.363689
983a39fcda407216efa751679be3969ffaea8f10,InList0008Entry,1,0.389442
983a39fcda407216efa751679be3969ffaea8f10,InList0008Entry,2,0.394364
983a39fcda407216efa751679be3969ffaea8f10,InList0008Entry,3,0.391072
983a39fcda407216efa751679be3969ffaea8f10,InList0008Entry,4,0.380551
983a39fcda407216efa751679be3969ffaea8f10,InList0016Entry,0,0.447024
983a39fcda407216efa751679be3969ffaea8f10,InList0016Entry,1,0.398871
983a39fcda407216efa751679be3969ffaea8f10,InList0016Entry,2,0.426264
983a39fcda407216efa751679be3969ffaea8f10,InList0016Entry,3,0.393874
983a39fcda407216efa751679be3969ffaea8f10,InList0016Entry,4,0.405827
983a39fcda407216efa751679be3969ffaea8f10,InList0032Entry,0,0.475364
983a39fcda407216efa751679be3969ffaea8f10,InList0032Entry,1,0.441154
983a39fcda407216efa751679be3969ffaea8f10,InList0032Entry,2,0.448388
983a39fcda407216efa751679be3969ffaea8f10,InList0032Entry,3,0.428558
983a39fcda407216efa751679be3969ffaea8f10,InList0032Entry,4,0.436344
983a39fcda407216efa751679be3969ffaea8f10,InList0064Entry,0,0.530675
983a39fcda407216efa751679be3969ffaea8f10,InList0064Entry,1,0.477065
983a39fcda407216efa751679be3969ffaea8f10,InList0064Entry,2,0.482354
983a39fcda407216efa751679be3969ffaea8f10,InList0064Entry,3,0.441021
983a39fcda407216efa751679be3969ffaea8f10,InList0064Entry,4,0.467511
983a39fcda407216efa751679be3969ffaea8f10,InList0128Entry,0,0.575719
983a39fcda407216efa751679be3969ffaea8f10,InList0128Entry,1,0.481293
983a39fcda407216efa751679be3969ffaea8f10,InList0128Entry,2,0.561171
983a39fcda407216efa751679be3969ffaea8f10,InList0128Entry,3,0.48134
983a39fcda407216efa751679be3969ffaea8f10,InList0128Entry,4,0.503055
983a39fcda407216efa751679be3969ffaea8f10,InList0256Entry,0,0.582415
983a39fcda407216efa751679be3969ffaea8f10,InList0256Entry,1,0.49634
983a39fcda407216efa751679be3969ffaea8f10,InList0256Entry,2,0.583008
983a39fcda407216efa751679be3969ffaea8f10,InList0256Entry,3,0.502736
983a39fcda407216efa751679be3969ffaea8f10,InList0256Entry,4,0.485403
983a39fcda407216efa751679be3969ffaea8f10,InList0512Entry,0,0.604367
983a39fcda407216efa751679be3969ffaea8f10,InList0512Entry,1,0.51215
983a39fcda407216efa751679be3969ffaea8f10,InList0512Entry,2,0.621178
983a39fcda407216efa751679be3969ffaea8f10,InList0512Entry,3,0.517638
983a39fcda407216efa751679be3969ffaea8f10,InList0512Entry,4,0.517954
983a39fcda407216efa751679be3969ffaea8f10,InList1024Entry,0,0.623902
983a39fcda407216efa751679be3969ffaea8f10,InList1024Entry,1,0.541353
983a39fcda407216efa751679be3969ffaea8f10,InList1024Entry,2,0.629447
983a39fcda407216efa751679be3969ffaea8f10,InList1024Entry,3,0.518118
983a39fcda407216efa751679be3969ffaea8f10,InList1024Entry,4,0.501288
983a39fcda407216efa751679be3969ffaea8f10,InList2048Entry,0,0.607612
983a39fcda407216efa751679be3969ffaea8f10,InList2048Entry,1,0.533901
983a39fcda407216efa751679be3969ffaea8f10,InList2048Entry,2,0.638555
983a39fcda407216efa751679be3969ffaea8f10,InList2048Entry,3,0.510179
983a39fcda407216efa751679be3969ffaea8f10,InList2048Entry,4,0.500513
983a39fcda407216efa751679be3969ffaea8f10,Multiplication,0,0.099488
983a39fcda407216efa751679be3969ffaea8f10,Multiplication,1,0.09463
983a39fcda407216efa751679be3969ffaea8f10,Multiplication,2,0.099677
983a39fcda407216efa751679be3969ffaea8f10,Multiplication,3,0.096489
983a39fcda407216efa751679be3969ffaea8f10,Multiplication,4,0.096249
983a39fcda407216efa751679be3969ffaea8f10,OrderBySingleColumn,0,0.038276
983a39fcda407216efa751679be3969ffaea8f10,OrderBySingleColumn,1,0.038626
983a39fcda407216efa751679be3969ffaea8f10,OrderBySingleColumn,2,0.038355
983a39fcda407216efa751679be3969ffaea8f10,OrderBySingleColumn,3,0.038566
983a39fcda407216efa751679be3969ffaea8f10,OrderBySingleColumn,4,0.038356
983a39fcda407216efa751679be3969ffaea8f10,PointQueryWithoutIndex,0,0.262917
983a39fcda407216efa751679be3969ffaea8f10,PointQueryWithoutIndex,1,0.261569
983a39fcda407216efa751679be3969ffaea8f10,PointQueryWithoutIndex,2,0.257905
983a39fcda407216efa751679be3969ffaea8f10,PointQueryWithoutIndex,3,0.262266
983a39fcda407216efa751679be3969ffaea8f10,PointQueryWithoutIndex,4,0.257115
983a39fcda407216efa751679be3969ffaea8f10,PointQueryWithIndexART,0,0.000182
