revision,benchmark,nrun,time
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleAggregate,0,0.019039
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleAggregate,1,0.017068
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleAggregate,2,0.017006
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleAggregate,3,0.016788
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleAggregate,4,0.017037
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleGroupByAggregate,0,0.129272
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleGroupByAggregate,1,0.129757
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleGroupByAggregate,2,0.129637
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleGroupByAggregate,3,0.129143
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,SimpleGroupByAggregate,4,0.129964
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0001Entry,0,0.054031
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0001Entry,1,0.056431
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0001Entry,2,0.05549
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0001Entry,3,0.053812
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0001Entry,4,0.054097
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0002Entry,0,0.102123
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0002Entry,1,0.106887
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0002Entry,2,0.101632
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0002Entry,3,0.116766
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0002Entry,4,0.100723
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0004Entry,0,0.191809
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0004Entry,1,0.215494
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0004Entry,2,0.188909
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0004Entry,3,0.189816
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0004Entry,4,0.191325
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0008Entry,0,0.363689
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0008Entry,1,0.389442
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0008Entry,2,0.394364
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0008Entry,3,0.391072
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0008Entry,4,0.380551
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0016Entry,0,0.447024
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0016Entry,1,0.398871
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0016Entry,2,0.426264
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0016Entry,3,0.393874
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0016Entry,4,0.405827
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0032Entry,0,0.475364
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0032Entry,1,0.441154
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0032Entry,2,0.448388
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0032Entry,3,0.428558
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0032Entry,4,0.436344
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0064Entry,0,0.530675
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0064Entry,1,0.477065
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0064Entry,2,0.482354
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0064Entry,3,0.441021
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0064Entry,4,0.467511
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0128Entry,0,0.575719
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0128Entry,1,0.481293
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0128Entry,2,0.561171
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0128Entry,3,0.48134
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0128Entry,4,0.503055
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0256Entry,0,0.582415
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0256Entry,1,0.49634
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0256Entry,2,0.583008
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0256Entry,3,0.502736
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0256Entry,4,0.485403
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0512Entry,0,0.604367
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0512Entry,1,0.51215
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0512Entry,2,0.621178
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0512Entry,3,0.517638
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList0512Entry,4,0.517954
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList1024Entry,0,0.623902
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList1024Entry,1,0.541353
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList1024Entry,2,0.629447
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList1024Entry,3,0.518118
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList1024Entry,4,0.501288
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList2048Entry,0,0.607612
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList2048Entry,1,0.533901
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList2048Entry,2,0.638555
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList2048Entry,3,0.510179
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,InList2048Entry,4,0.500513
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,Multiplication,0,0.099488
a7b3c8120a8a8a9e632ec2f2e305c73880d4dc05,Multiplication,1,0.09463
