revision,benchmark,nrun,time
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleAggregate,0,0.019039
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleAggregate,1,0.017068
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleAggregate,2,0.017006
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleAggregate,3,0.016788
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleAggregate,4,0.017037
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleGroupByAggregate,0,0.129272
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleGroupByAggregate,1,0.129757
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleGroupByAggregate,2,0.129637
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleGroupByAggregate,3,0.129143
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,SimpleGroupByAggregate,4,0.129964
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0001Entry,0,0.054031
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0001Entry,1,0.056431
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0001Entry,2,0.05549
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0001Entry,3,0.053812
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0001Entry,4,0.054097
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0002Entry,0,0.102123
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0002Entry,1,0.106887
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0002Entry,2,0.101632
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0002Entry,3,0.116766
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0002Entry,4,0.100723
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0004Entry,0,0.191809
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0004Entry,1,0.215494
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0004Entry,2,0.188909
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0004Entry,3,0.189816
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0004Entry,4,0.191325
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0008Entry,0,0.363689
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0008Entry,1,0.389442
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0008Entry,2,0.394364
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0008Entry,3,0.391072
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0008Entry,4,0.380551
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0016Entry,0,0.447024
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0016Entry,1,0.398871
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0016Entry,2,0.426264
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0016Entry,3,0.393874
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0016Entry,4,0.405827
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0032Entry,0,0.475364
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0032Entry,1,0.441154
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0032Entry,2,0.448388
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0032Entry,3,0.428558
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0032Entry,4,0.436344
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0064Entry,0,0.530675
c4e824b14bf8dfa398ca956fb7446ddea77ae72a,InList0064Entry,1,0.477065
