revision,benchmark,nrun,time
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleAggregate,0,0.019039
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleAggregate,1,0.017068
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleAggregate,2,0.017006
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleAggregate,3,0.016788
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleAggregate,4,0.017037
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleGroupByAggregate,0,0.129272
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleGroupByAggregate,1,0.129757
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleGroupByAggregate,2,0.129637
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleGroupByAggregate,3,0.129143
e6287422a8bee35ab582909d32984fbfd9d60bb8,SimpleGroupByAggregate,4,0.129964
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0001Entry,0,0.054031
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0001Entry,1,0.056431
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0001Entry,2,0.05549
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0001Entry,3,0.053812
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0001Entry,4,0.054097
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0002Entry,0,0.102123
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0002Entry,1,0.106887
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0002Entry,2,0.101632
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0002Entry,3,0.116766
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0002Entry,4,0.100723
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0004Entry,0,0.191809
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0004Entry,1,0.215494
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0004Entry,2,0.188909
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0004Entry,3,0.189816
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0004Entry,4,0.191325
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0008Entry,0,0.363689
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0008Entry,1,0.389442
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0008Entry,2,0.394364
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0008Entry,3,0.391072
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0008Entry,4,0.380551
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0016Entry,0,0.447024
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0016Entry,1,0.398871
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0016Entry,2,0.426264
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0016Entry,3,0.393874
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0016Entry,4,0.405827
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0032Entry,0,0.475364
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0032Entry,1,0.441154
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0032Entry,2,0.448388
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0032Entry,3,0.428558
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0032Entry,4,0.436344
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0064Entry,0,0.530675
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0064Entry,1,0.477065
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0064Entry,2,0.482354
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0064Entry,3,0.441021
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0064Entry,4,0.467511
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0128Entry,0,0.575719
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0128Entry,1,0.481293
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0128Entry,2,0.561171
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0128Entry,3,0.48134
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0128Entry,4,0.503055
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0256Entry,0,0.582415
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0256Entry,1,0.49634
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0256Entry,2,0.583008
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0256Entry,3,0.502736
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0256Entry,4,0.485403
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0512Entry,0,0.604367
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0512Entry,1,0.51215
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0512Entry,2,0.621178
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0512Entry,3,0.517638
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList0512Entry,4,0.517954
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList1024Entry,0,0.623902
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList1024Entry,1,0.541353
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList1024Entry,2,0.629447
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList1024Entry,3,0.518118
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList1024Entry,4,0.501288
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList2048Entry,0,0.607612
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList2048Entry,1,0.533901
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList2048Entry,2,0.638555
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList2048Entry,3,0.510179
e6287422a8bee35ab582909d32984fbfd9d60bb8,InList2048Entry,4,0.500513
e6287422a8bee35ab582909d32984fbfd9d60bb8,Multiplication,0,0.099488
e6287422a8bee35ab582909d32984fbfd9d60bb8,Multiplication,1,0.09463
e6287422a8bee35ab582909d32984fbfd9d60bb8,Multiplication,2,0.099677
e6287422a8bee35ab582909d32984fbfd9d60bb8,Multiplication,3,0.096489
e6287422a8bee35ab582909d32984fbfd9d60bb8,Multiplication,4,0.096249
e6287422a8bee35ab582909d32984fbfd9d60bb8,OrderBySingleColumn,0,0.038276
e6287422a8bee35ab582909d32984fbfd9d60bb8,OrderBySingleColumn,1,0.038626
e6287422a8bee35ab582909d32984fbfd9d60bb8,OrderBySingleColumn,2,0.038355
e6287422a8bee35ab582909d32984fbfd9d60bb8,OrderBySingleColumn,3,0.038566
e6287422a8bee35ab582909d32984fbfd9d60bb8,OrderBySingleColumn,4,0.038356
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithoutIndex,0,0.262917
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithoutIndex,1,0.261569
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithoutIndex,2,0.257905
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithoutIndex,3,0.262266
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithoutIndex,4,0.257115
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithIndexART,0,0.000182
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithIndexART,1,0.000127
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithIndexART,2,0.000257
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithIndexART,3,0.000175
e6287422a8bee35ab582909d32984fbfd9d60bb8,PointQueryWithIndexART,4,0.000114
e6287422a8bee35ab582909d32984fbfd9d60bb8,IndexCreationART,0,T
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeJoin,0,0.159608
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeJoin,1,0.137414
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeJoin,2,0.137366
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeJoin,3,0.138201
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeJoin,4,0.137292
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeQueryWithoutIndex,0,0.576838
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeQueryWithoutIndex,1,0.572227
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeQueryWithoutIndex,2,0.571126
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeQueryWithoutIndex,3,0.569334
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeQueryWithoutIndex,4,0.569335
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeQueryWithIndexART,0,0.000255
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeQueryWithIndexART,1,0.000248
e6287422a8bee35ab582909d32984fbfd9d60bb8,RangeQueryWithIndexART,2,0.00028
