revision,benchmark,nrun,time
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleAggregate,0,0.019039
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleAggregate,1,0.017068
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleAggregate,2,0.017006
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleAggregate,3,0.016788
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleAggregate,4,0.017037
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleGroupByAggregate,0,0.129272
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleGroupByAggregate,1,0.129757
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleGroupByAggregate,2,0.129637
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleGroupByAggregate,3,0.129143
ea042a326215b7dd1169457eef406bd442e3ee89,SimpleGroupByAggregate,4,0.129964
ea042a326215b7dd1169457eef406bd442e3ee89,InList0001Entry,0,0.054031
ea042a326215b7dd1169457eef406bd442e3ee89,InList0001Entry,1,0.056431
ea042a326215b7dd1169457eef406bd442e3ee89,InList0001Entry,2,0.05549
ea042a326215b7dd1169457eef406bd442e3ee89,InList0001Entry,3,0.053812
ea042a326215b7dd1169457eef406bd442e3ee89,InList0001Entry,4,0.054097
ea042a326215b7dd1169457eef406bd442e3ee89,InList0002Entry,0,0.102123
ea042a326215b7dd1169457eef406bd442e3ee89,InList0002Entry,1,0.106887
ea042a326215b7dd1169457eef406bd442e3ee89,InList0002Entry,2,0.101632
ea042a326215b7dd1169457eef406bd442e3ee89,InList0002Entry,3,0.116766
ea042a326215b7dd1169457eef406bd442e3ee89,InList0002Entry,4,0.100723
ea042a326215b7dd1169457eef406bd442e3ee89,InList0004Entry,0,0.191809
ea042a326215b7dd1169457eef406bd442e3ee89,InList0004Entry,1,0.215494
ea042a326215b7dd1169457eef406bd442e3ee89,InList0004Entry,2,0.188909
ea042a326215b7dd1169457eef406bd442e3ee89,InList0004Entry,3,0.189816
ea042a326215b7dd1169457eef406bd442e3ee89,InList0004Entry,4,0.191325
ea042a326215b7dd1169457eef406bd442e3ee89,InList0008Entry,0,0.363689
ea042a326215b7dd1169457eef406bd442e3ee89,InList0008Entry,1,0.389442
ea042a326215b7dd1169457eef406bd442e3ee89,InList0008Entry,2,0.394364
ea042a326215b7dd1169457eef406bd442e3ee89,InList0008Entry,3,0.391072
ea042a326215b7dd1169457eef406bd442e3ee89,InList0008Entry,4,0.380551
ea042a326215b7dd1169457eef406bd442e3ee89,InList0016Entry,0,0.447024
ea042a326215b7dd1169457eef406bd442e3ee89,InList0016Entry,1,0.398871
ea042a326215b7dd1169457eef406bd442e3ee89,InList0016Entry,2,0.426264
ea042a326215b7dd1169457eef406bd442e3ee89,InList0016Entry,3,0.393874
ea042a326215b7dd1169457eef406bd442e3ee89,InList0016Entry,4,0.405827
ea042a326215b7dd1169457eef406bd442e3ee89,InList0032Entry,0,0.475364
ea042a326215b7dd1169457eef406bd442e3ee89,InList0032Entry,1,0.441154
ea042a326215b7dd1169457eef406bd442e3ee89,InList0032Entry,2,0.448388
ea042a326215b7dd1169457eef406bd442e3ee89,InList0032Entry,3,0.428558
ea042a326215b7dd1169457eef406bd442e3ee89,InList0032Entry,4,0.436344
ea042a326215b7dd1169457eef406bd442e3ee89,InList0064Entry,0,0.530675
ea042a326215b7dd1169457eef406bd442e3ee89,InList0064Entry,1,0.477065
ea042a326215b7dd1169457eef406bd442e3ee89,InList0064Entry,2,0.482354
ea042a326215b7dd1169457eef406bd442e3ee89,InList0064Entry,3,0.441021
ea042a326215b7dd1169457eef406bd442e3ee89,InList0064Entry,4,0.467511
ea042a326215b7dd1169457eef406bd442e3ee89,InList0128Entry,0,0.575719
ea042a326215b7dd1169457eef406bd442e3ee89,InList0128Entry,1,0.481293
ea042a326215b7dd1169457eef406bd442e3ee89,InList0128Entry,2,0.561171
ea042a326215b7dd1169457eef406bd442e3ee89,InList0128Entry,3,0.48134
ea042a326215b7dd1169457eef406bd442e3ee89,InList0128Entry,4,0.503055
ea042a326215b7dd1169457eef406bd442e3ee89,InList0256Entry,0,0.582415
ea042a326215b7dd1169457eef406bd442e3ee89,InList0256Entry,1,0.49634
ea042a326215b7dd1169457eef406bd442e3ee89,InList0256Entry,2,0.583008
ea042a326215b7dd1169457eef406bd442e3ee89,InList0256Entry,3,0.502736
ea042a326215b7dd1169457eef406bd442e3ee89,InList0256Entry,4,0.485403
ea042a326215b7dd1169457eef406bd442e3ee89,InList0512Entry,0,0.604367
ea042a326215b7dd1169457eef406bd442e3ee89,InList0512Entry,1,0.51215
ea042a326215b7dd1169457eef406bd442e3ee89,InList0512Entry,2,0.621178
ea042a326215b7dd1169457eef406bd442e3ee89,InList0512Entry,3,0.517638
ea042a326215b7dd1169457eef406bd442e3ee89,InList0512Entry,4,0.517954
ea042a326215b7dd1169457eef406bd442e3ee89,InList1024Entry,0,0.623902
ea042a326215b7dd1169457eef406bd442e3ee89,InList1024Entry,1,0.541353
ea042a326215b7dd1169457eef406bd442e3ee89,InList1024Entry,2,0.629447
ea042a326215b7dd1169457eef406bd442e3ee89,InList1024Entry,3,0.518118
ea042a326215b7dd1169457eef406bd442e3ee89,InList1024Entry,4,0.501288
ea042a326215b7dd1169457eef406bd442e3ee89,InList2048Entry,0,0.607612
ea042a326215b7dd1169457eef406bd442e3ee89,InList2048Entry,1,0.533901
ea042a326215b7dd1169457eef406bd442e3ee89,InList2048Entry,2,0.638555
ea042a326215b7dd1169457eef406bd442e3ee89,InList2048Entry,3,0.510179
ea042a326215b7dd1169457eef406bd442e3ee89,InList2048Entry,4,0.500513
ea042a326215b7dd1169457eef406bd442e3ee89,Multiplication,0,0.099488
ea042a326215b7dd1169457eef406bd442e3ee89,Multiplication,1,0.09463
ea042a326215b7dd1169457eef406bd442e3ee89,Multiplication,2,0.099677
ea042a326215b7dd1169457eef406bd442e3ee89,Multiplication,3,0.096489
ea042a326215b7dd1169457eef406bd442e3ee89,Multiplication,4,0.096249
ea042a326215b7dd1169457eef406bd442e3ee89,OrderBySingleColumn,0,0.038276
ea042a326215b7dd1169457eef406bd442e3ee89,OrderBySingleColumn,1,0.038626
ea042a326215b7dd1169457eef406bd442e3ee89,OrderBySingleColumn,2,0.038355
ea042a326215b7dd1169457eef406bd442e3ee89,OrderBySingleColumn,3,0.038566
ea042a326215b7dd1169457eef406bd442e3ee89,OrderBySingleColumn,4,0.038356
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithoutIndex,0,0.262917
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithoutIndex,1,0.261569
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithoutIndex,2,0.257905
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithoutIndex,3,0.262266
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithoutIndex,4,0.257115
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithIndexART,0,0.000182
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithIndexART,1,0.000127
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithIndexART,2,0.000257
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithIndexART,3,0.000175
ea042a326215b7dd1169457eef406bd442e3ee89,PointQueryWithIndexART,4,0.000114
ea042a326215b7dd1169457eef406bd442e3ee89,IndexCreationART,0,T
ea042a326215b7dd1169457eef406bd442e3ee89,RangeJoin,0,0.159608
ea042a326215b7dd1169457eef406bd442e3ee89,RangeJoin,1,0.137414
ea042a326215b7dd1169457eef406bd442e3ee89,RangeJoin,2,0.137366
ea042a326215b7dd1169457eef406bd442e3ee89,RangeJoin,3,0.138201
ea042a326215b7dd1169457eef406bd442e3ee89,RangeJoin,4,0.137292
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithoutIndex,0,0.576838
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithoutIndex,1,0.572227
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithoutIndex,2,0.571126
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithoutIndex,3,0.569334
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithoutIndex,4,0.569335
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithIndexART,0,0.000255
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithIndexART,1,0.000248
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithIndexART,2,0.00028
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithIndexART,3,0.000491
ea042a326215b7dd1169457eef406bd442e3ee89,RangeQueryWithIndexART,4,0.00025
ea042a326215b7dd1169457eef406bd442e3ee89,Window,0,0.160346
ea042a326215b7dd1169457eef406bd442e3ee89,Window,1,0.160212
ea042a326215b7dd1169457eef406bd442e3ee89,Window,2,0.159886
ea042a326215b7dd1169457eef406bd442e3ee89,Window,3,0.160357
ea042a326215b7dd1169457eef406bd442e3ee89,Window,4,0.160442
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Memory,0,1.432427
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Memory,1,1.445717
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Memory,2,1.446134
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Memory,3,1.451596
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Memory,4,1.446057
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Disk,0,1.332728
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Disk,1,1.33691
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Disk,2,1.325225
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Disk,3,1.334592
ea042a326215b7dd1169457eef406bd442e3ee89,SELECT1Disk,4,1.335577
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemSimpleAggregate,0,0.011012
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemSimpleAggregate,1,0.012532
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemSimpleAggregate,2,0.014108
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemSimpleAggregate,3,0.013817
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemSimpleAggregate,4,0.013177
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupAggregate,0,0.071457
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupAggregate,1,0.073678
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupAggregate,2,0.071728
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupAggregate,3,0.072042
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupAggregate,4,0.073617
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupStringAggregate,0,0.195515
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupStringAggregate,1,0.200045
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupStringAggregate,2,0.195303
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupStringAggregate,3,0.197506
ea042a326215b7dd1169457eef406bd442e3ee89,LineitemGroupStringAggregate,4,0.191016
ea042a326215b7dd1169457eef406bd442e3ee89,Q01,0,0.586657
ea042a326215b7dd1169457eef406bd442e3ee89,Q01,1,0.585745
ea042a326215b7dd1169457eef406bd442e3ee89,Q01,2,0.585308
ea042a326215b7dd1169457eef406bd442e3ee89,Q01,3,0.586596
ea042a326215b7dd1169457eef406bd442e3ee89,Q01,4,0.579787
ea042a326215b7dd1169457eef406bd442e3ee89,Q02,0,0.381548
ea042a326215b7dd1169457eef406bd442e3ee89,Q02,1,0.37492
ea042a326215b7dd1169457eef406bd442e3ee89,Q02,2,0.38
ea042a326215b7dd1169457eef406bd442e3ee89,Q02,3,0.37268
ea042a326215b7dd1169457eef406bd442e3ee89,Q02,4,0.377405
ea042a326215b7dd1169457eef406bd442e3ee89,Q03,0,0.334464
ea042a326215b7dd1169457eef406bd442e3ee89,Q03,1,0.326097
ea042a326215b7dd1169457eef406bd442e3ee89,Q03,2,0.345422
ea042a326215b7dd1169457eef406bd442e3ee89,Q03,3,0.340066
ea042a326215b7dd1169457eef406bd442e3ee89,Q03,4,0.335337
ea042a326215b7dd1169457eef406bd442e3ee89,Q04,0,1.275258
ea042a326215b7dd1169457eef406bd442e3ee89,Q04,1,1.288399
ea042a326215b7dd1169457eef406bd442e3ee89,Q04,2,1.281663
ea042a326215b7dd1169457eef406bd442e3ee89,Q04,3,1.281622
ea042a326215b7dd1169457eef406bd442e3ee89,Q04,4,1.289822
ea042a326215b7dd1169457eef406bd442e3ee89,Q05,0,0.5416
ea042a326215b7dd1169457eef406bd442e3ee89,Q05,1,0.536724
ea042a326215b7dd1169457eef406bd442e3ee89,Q05,2,0.53697
ea042a326215b7dd1169457eef406bd442e3ee89,Q05,3,0.538085
ea042a326215b7dd1169457eef406bd442e3ee89,Q05,4,0.533118
ea042a326215b7dd1169457eef406bd442e3ee89,Q06,0,0.117299
ea042a326215b7dd1169457eef406bd442e3ee89,Q06,1,0.116196
ea042a326215b7dd1169457eef406bd442e3ee89,Q06,2,0.11658
ea042a326215b7dd1169457eef406bd442e3ee89,Q06,3,0.117091
ea042a326215b7dd1169457eef406bd442e3ee89,Q06,4,0.117066
ea042a326215b7dd1169457eef406bd442e3ee89,Q07,0,0.98725
ea042a326215b7dd1169457eef406bd442e3ee89,Q07,1,0.989667
ea042a326215b7dd1169457eef406bd442e3ee89,Q07,2,0.985216
ea042a326215b7dd1169457eef406bd442e3ee89,Q07,3,0.982913
ea042a326215b7dd1169457eef406bd442e3ee89,Q07,4,0.971869
ea042a326215b7dd1169457eef406bd442e3ee89,Q08,0,0.528917
ea042a326215b7dd1169457eef406bd442e3ee89,Q08,1,0.533681
ea042a326215b7dd1169457eef406bd442e3ee89,Q08,2,0.524606
ea042a326215b7dd1169457eef406bd442e3ee89,Q08,3,0.528352
ea042a326215b7dd1169457eef406bd442e3ee89,Q08,4,0.531604
ea042a326215b7dd1169457eef406bd442e3ee89,Q09,0,2.036011
ea042a326215b7dd1169457eef406bd442e3ee89,Q09,1,2.043906
ea042a326215b7dd1169457eef406bd442e3ee89,Q09,2,2.033833
ea042a326215b7dd1169457eef406bd442e3ee89,Q09,3,2.044042
ea042a326215b7dd1169457eef406bd442e3ee89,Q09,4,2.03265
ea042a326215b7dd1169457eef406bd442e3ee89,Q10,0,0.530008
ea042a326215b7dd1169457eef406bd442e3ee89,Q10,1,0.544151
ea042a326215b7dd1169457eef406bd442e3ee89,Q10,2,0.540242
ea042a326215b7dd1169457eef406bd442e3ee89,Q10,3,0.546061
ea042a326215b7dd1169457eef406bd442e3ee89,Q10,4,0.527984
ea042a326215b7dd1169457eef406bd442e3ee89,Q11,0,0.03373
ea042a326215b7dd1169457eef406bd442e3ee89,Q11,1,0.03331
ea042a326215b7dd1169457eef406bd442e3ee89,Q11,2,0.030538
ea042a326215b7dd1169457eef406bd442e3ee89,Q11,3,0.032118
ea042a326215b7dd1169457eef406bd442e3ee89,Q11,4,0.030315
ea042a326215b7dd1169457eef406bd442e3ee89,Q12,0,0.42593
