revision,benchmark,nrun,time
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleAggregate,0,0.019039
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleAggregate,1,0.017068
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleAggregate,2,0.017006
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleAggregate,3,0.016788
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleAggregate,4,0.017037
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleGroupByAggregate,0,0.129272
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleGroupByAggregate,1,0.129757
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleGroupByAggregate,2,0.129637
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleGroupByAggregate,3,0.129143
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SimpleGroupByAggregate,4,0.129964
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0001Entry,0,0.054031
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0001Entry,1,0.056431
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0001Entry,2,0.05549
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0001Entry,3,0.053812
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0001Entry,4,0.054097
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0002Entry,0,0.102123
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0002Entry,1,0.106887
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0002Entry,2,0.101632
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0002Entry,3,0.116766
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0002Entry,4,0.100723
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0004Entry,0,0.191809
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0004Entry,1,0.215494
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0004Entry,2,0.188909
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0004Entry,3,0.189816
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0004Entry,4,0.191325
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0008Entry,0,0.363689
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0008Entry,1,0.389442
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0008Entry,2,0.394364
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0008Entry,3,0.391072
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0008Entry,4,0.380551
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0016Entry,0,0.447024
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0016Entry,1,0.398871
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0016Entry,2,0.426264
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0016Entry,3,0.393874
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0016Entry,4,0.405827
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0032Entry,0,0.475364
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0032Entry,1,0.441154
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0032Entry,2,0.448388
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0032Entry,3,0.428558
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0032Entry,4,0.436344
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0064Entry,0,0.530675
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0064Entry,1,0.477065
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0064Entry,2,0.482354
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0064Entry,3,0.441021
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0064Entry,4,0.467511
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0128Entry,0,0.575719
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0128Entry,1,0.481293
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0128Entry,2,0.561171
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0128Entry,3,0.48134
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0128Entry,4,0.503055
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0256Entry,0,0.582415
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0256Entry,1,0.49634
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0256Entry,2,0.583008
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0256Entry,3,0.502736
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0256Entry,4,0.485403
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0512Entry,0,0.604367
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0512Entry,1,0.51215
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0512Entry,2,0.621178
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0512Entry,3,0.517638
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList0512Entry,4,0.517954
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList1024Entry,0,0.623902
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList1024Entry,1,0.541353
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList1024Entry,2,0.629447
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList1024Entry,3,0.518118
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList1024Entry,4,0.501288
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList2048Entry,0,0.607612
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList2048Entry,1,0.533901
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList2048Entry,2,0.638555
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList2048Entry,3,0.510179
f331a271dc89c74a70d38f01b7bcded8137a8bc4,InList2048Entry,4,0.500513
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Multiplication,0,0.099488
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Multiplication,1,0.09463
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Multiplication,2,0.099677
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Multiplication,3,0.096489
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Multiplication,4,0.096249
f331a271dc89c74a70d38f01b7bcded8137a8bc4,OrderBySingleColumn,0,0.038276
f331a271dc89c74a70d38f01b7bcded8137a8bc4,OrderBySingleColumn,1,0.038626
f331a271dc89c74a70d38f01b7bcded8137a8bc4,OrderBySingleColumn,2,0.038355
f331a271dc89c74a70d38f01b7bcded8137a8bc4,OrderBySingleColumn,3,0.038566
f331a271dc89c74a70d38f01b7bcded8137a8bc4,OrderBySingleColumn,4,0.038356
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithoutIndex,0,0.262917
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithoutIndex,1,0.261569
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithoutIndex,2,0.257905
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithoutIndex,3,0.262266
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithoutIndex,4,0.257115
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithIndexART,0,0.000182
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithIndexART,1,0.000127
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithIndexART,2,0.000257
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithIndexART,3,0.000175
f331a271dc89c74a70d38f01b7bcded8137a8bc4,PointQueryWithIndexART,4,0.000114
f331a271dc89c74a70d38f01b7bcded8137a8bc4,IndexCreationART,0,T
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeJoin,0,0.159608
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeJoin,1,0.137414
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeJoin,2,0.137366
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeJoin,3,0.138201
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeJoin,4,0.137292
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithoutIndex,0,0.576838
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithoutIndex,1,0.572227
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithoutIndex,2,0.571126
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithoutIndex,3,0.569334
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithoutIndex,4,0.569335
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithIndexART,0,0.000255
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithIndexART,1,0.000248
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithIndexART,2,0.00028
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithIndexART,3,0.000491
f331a271dc89c74a70d38f01b7bcded8137a8bc4,RangeQueryWithIndexART,4,0.00025
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Window,0,0.160346
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Window,1,0.160212
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Window,2,0.159886
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Window,3,0.160357
f331a271dc89c74a70d38f01b7bcded8137a8bc4,Window,4,0.160442
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Memory,0,1.432427
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Memory,1,1.445717
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Memory,2,1.446134
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Memory,3,1.451596
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Memory,4,1.446057
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Disk,0,1.332728
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Disk,1,1.33691
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Disk,2,1.325225
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Disk,3,1.334592
f331a271dc89c74a70d38f01b7bcded8137a8bc4,SELECT1Disk,4,1.335577
f331a271dc89c74a70d38f01b7bcded8137a8bc4,LineitemSimpleAggregate,0,0.011012
f331a271dc89c74a70d38f01b7bcded8137a8bc4,LineitemSimpleAggregate,1,0.012532
f331a271dc89c74a70d38f01b7bcded8137a8bc4,LineitemSimpleAggregate,2,0.014108
