filepath	current_header	Function	Description	Example	Result	Operator	Specifier	Synonyms
docs\sql\functions\blob.md 	 	 `octet_length(`*`blob`*`)` 	 Number of bytes in blob 	 `octet_length('\xAABB'::BLOB)` 	2			
docs\sql\functions\char.md 	 	 *`string`*`[`*`index`*`]` 	 Alias for `array_extract`. 	 `'DuckDB'[3]` 	 `'k'`			
docs\sql\functions\char.md 	 	 *`string`*`[`*`begin`*`:`*`end`*`]` 	 Alias for `array_slice`. Missing arguments are interprete as `NULL`s. 	 `'DuckDB'[:4]` 	 `'Duck'`			
docs\sql\functions\char.md 	 	 `array_extract(`*`list`*`, `*`index`*`)` 	 Extract a single character using a (0-based) index. 	 `array_extract('DuckDB, 1)` 	 `'u'`			
docs\sql\functions\char.md 	 	 `array_slice(`*`list`*`, `*`begin`*`, `*`end`*`)` 	 Extract a string using slice conventions. `NULL`s are interpreted as the bounds of the string. Negative values are accepted. 	 `array_slice('DuckDB, 4, NULL)` 	 `'DB'`			
docs\sql\functions\char.md 	 	 `ascii(`*`string`*`)`	 Returns an integer that represents the Unicode code point of the first character of the *string* 	 `ascii('Ω')` 	 `937`			
docs\sql\functions\char.md 	 	 `concat(`*`string`*`, ...)` 	 Concatenate many strings together 	 `concat('Hello', ' ', 'World')` 	 `Hello World`			
docs\sql\functions\char.md 	 	 `concat_ws(`*`separator`*`, `*`string`*`, ...)` 	 Concatenate strings together separated by the specified separator 	 `concat_ws(',', 'Banana', 'Apple', 'Melon')` 	 `Banana,Apple,Melon`			
docs\sql\functions\char.md 	 	 `format(`*`format`*`, `*`parameters`*`...)` 	 Formats a string using fmt syntax 	" `format('Benchmark ""{}"" took {} seconds', 'CSV', 42)` "	" `Benchmark ""CSV"" took 42 seconds`"			
docs\sql\functions\char.md 	 	 `left(`*`string`*`, `*`count`*`)`	 Extract the left-most count characters 	 `left('hello', 2)` 	 `he`			
docs\sql\functions\char.md 	 	 `length(`*`string`*`)` 	 Number of characters in *string* 	 `length('Hello')` 	 `5`			
docs\sql\functions\char.md 	 	 *`string`*` LIKE `*`target`* 	 Returns true if the *string* matches the like specifier (see [Pattern Matching](/docs/sql/functions/patternmatching)) 	 `'hello' LIKE '%lo'` 	 `true`			
docs\sql\functions\char.md 	 	 `list_element(`*`string`*`, `*`index`*`)` 	 An alias for `array_extract`. 	 `list_element('DuckDB, 1)` 	 `'u'`			
docs\sql\functions\char.md 	 	 `list_extract(`*`string`*`, `*`index`*`)` 	 An alias for `array_extract`. 	 `list_extract('DuckDB, 1)` 	 `'u'`			
docs\sql\functions\char.md 	 	 `lower(`*`string`*`)` 	 Convert *string* to lower case 	 `lower('Hello')` 	 `hello`			
docs\sql\functions\char.md 	 	 `lpad(`*`string`*`, `*`count`*`, `*`character`*`)`	 Pads the *string*  with the character from the left until it has count characters 	 `lpad('hello', 10, '>')` 	 `>>>>>hello`			
docs\sql\functions\char.md 	 	 `ltrim(`*`string`*`)`	 Removes any spaces from the left side of the *string* 	 `ltrim('␣␣␣␣test␣␣')` 	 `test␣␣`			
docs\sql\functions\char.md 	 	 `ltrim(`*`string`*`, `*`characters`*`)`	 Removes any occurrences of any of the *characters* from the left side of the *string* 	 `ltrim('>>>>test<<', '><')` 	 `test<<`			
docs\sql\functions\char.md 	 	 `upper(`*`string`*`)`	 Convert *string* to upper case 	 `upper('Hello')` 	 `HELLO`			
docs\sql\functions\char.md 	 	 `printf(`*`format`*`, `*`parameters`*`...)` 	 Formats a *string* using printf syntax 	" `printf('Benchmark ""%s"" took %d seconds', 'CSV', 42)` "	" `Benchmark ""CSV"" took 42 seconds`"			
docs\sql\functions\char.md 	 	 `regexp_full_match(`*`string`*`, `*`regex`*`)`	 Returns true if the entire *string* matches the *regex* (see [Pattern Matching](/docs/sql/functions/patternmatching)) 	 `regexp_full_match('anabanana', '(an)*')` 	 `false`			
docs\sql\functions\char.md 	 	 `regexp_matches(`*`string`*`, `*`regex`*`)`	 Returns true if a part of *string* matches the *regex* (see [Pattern Matching](/docs/sql/functions/patternmatching)) 	 `regexp_matches('anabanana', '(an)*')` 	 `true`			
docs\sql\functions\char.md 	 	 `regexp_replace(`*`string`*`, `*`regex`*`, `*`replacement`*`, `*`modifiers`*`)`	 Replaces the first occurrence of *regex* with the *replacement*, use `'g'` modifier to replace all occurrences instead (see [Pattern Matching](/docs/sql/functions/patternmatching)) 	 `select regexp_replace('hello', '[lo]', '-')` 	 `he-lo`			
docs\sql\functions\char.md 	 	 `repeat(`*`string`*`, `*`count`*`)`	 Repeats the *string* *count* number of times 	 `repeat('A', 5)` 	 `AAAAA`			
docs\sql\functions\char.md 	 	 `replace(`*`string`*`, `*`source`*`, `*`target`*`)`	 Replaces any occurrences of the *source* with *target* in *string* 	 `replace('hello', 'l', '-')` 	 `he--o`			
docs\sql\functions\char.md 	 	 `reverse(`*`string`*`)`	 Reverses the *string* 	 `reverse('hello')` 	 `olleh`			
docs\sql\functions\char.md 	 	 `right(`*`string`*`, `*`count`*`)`	 Extract the right-most *count* characters 	 `right('hello', 3)` 	 `llo`			
docs\sql\functions\char.md 	 	 `rpad(`*`string`*`, `*`count`*`, `*`character`*`)`	 Pads the *string* with the character from the right until it has *count* characters 	 `rpad('hello', 10, '<')` 	 `hello<<<<<`			
docs\sql\functions\char.md 	 	 `rtrim(`*`string`*`)`	 Removes any spaces from the right side of the *string* 	 `rtrim('␣␣␣␣test␣␣')` 	 `␣␣␣␣test`			
docs\sql\functions\char.md 	 	 `rtrim(`*`string`*`, `*`characters`*`)`	 Removes any occurrences of any of the *characters* from the right side of the *string* 	 `rtrim('>>>>test<<', '><')` 	 `>>>>test`			
