name, repo, ref, description
chsql,lmangani/duckdb-extension-clickhouse-sql,9ba26a1461c3980bbec05598da2433f656684fa7,"ClickHouse SQL Macros for DuckDB"
crypto,rustyconover/duckdb-crypto-extension,c8a64d43bafa559f48dd55730813475eb58c4916,"Cryptographic hash functions and HMAC"
evalexpr_rhai,rustyconover/duckdb-evalexpr-rhai-extension,3d234c59ce9b3d32b8800c608f818b7f55e39da8,"Evaluate the Rhai scripting language in DuckDB"
faiss,arjenpdevries/faiss,ac09d01af7ce9711f74097012f4bff4b5275147f,"Provides a subset of the faiss API to duckdb"
fuzzycomplete,rustyconover/duckdb-fuzzycomplete-extension,39a61c1c39a2b028101ef635fcb04856883ab498,"Fuzzy matching based autocompletion"
h3,isaacbrodsky/h3-duckdb,ae79503e65ece4d06b9c66d9aa5c6b9afc0cf242,"Hierarchical hexagonal indexing for geospatial data"
lindel,rustyconover/duckdb-lindel-extension,87bb25c92bc2073e5bb085543a649477a964fff0,"Linearization/Delinearization, Z-Order, Hilbert and Morton Curves"
magic,carlopi/duckdb_magic,4568f1813a6e4555beb931349408e5d04b66c99e,"libmagic/file utilities ported to DuckDB"
pivot_table,Alex-Monahan/pivot_table,3e87d43b4c15a3640b26eb8942ce5e75335c879a,"Provides a spreadsheet-style pivot_table function"
prql,ywelsch/duckdb-prql,5dedc86da88c35ab219e2e1ba2c54299160484af,"Support for PRQL, the Pipelined Relational Query Language"
quack,duckdb/extension-template,f89d2663d9788dc27f3a77bcdf638ace6357a459,"Provides a hello world example demo"
scrooge,pdet/Scrooge-McDuck,c97da6a4bf04352d9f9493df30ef90477bf250e7,"Provides functionality for financial data-analysis, including data scanners for the Ethereum Blockchain and Yahoo Finance"
shellfs,rustyconover/duckdb-shellfs-extension,651981d540027681c06252d433e5590370131444,"Allow shell commands to be used for input and output"
tarfs,Maxxen/duckdb_tarfs,6d468b45f38f16d58e49032edd76aa76c2a2b078,"glob, open and read files within `.tar` archives"
ulid,Maxxen/duckdb_ulid,b8368f646d57aa1bc73a8fee37621fcb87e4ccd2,"ULID data type for DuckDB"
